,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_スプリント,A_総走行距離,H_スプリント,H_総走行距離,A_ゴール期待値,H_ゴール期待値
1514,34,1201,Ｇ大阪,4-2,H,三協Ｆ柏,晴,柏レイソル,2018,kasw,岩瀬　健,16,4,0,423,9,9,1,5,20,14,27,30,2,4,0,0,21,13,123,13.0%,44.4%,(25.0%),(75.7%),(22.2%),(95.0%),(42.9%),(85.2%),21,6,0,607,17,14,4,8,30,19,22,17,1,1,2,0,57,29,126,16.7%,55.6%,(9.5%),(82.2%),(17.6%),(93.3%),(47.4%),(86.4%),198,"113,907m",170,"113,323m",,
1515,1,0224,山口,2-1,A,みらスタ,晴,柏レイソル,2019,kasw,ネルシーニョ,14,3,0,380,14,8,6,3,26,17,23,39,2,2,1,0,38,11,137,10.2%,46.2%,(7.1%),(68.4%),(21.4%),(76.9%),(52.9%),(73.9%),20,5,1,499,25,12,2,10,38,19,30,33,4,6,2,0,48,21,157,12.7%,53.8%,(10.0%),(71.9%),(8.0%),(78.9%),(63.2%),(70.0%),,,,,2.014,1.052
1516,2,0302,町田,1-0,H,三協Ｆ柏,晴,柏レイソル,2019,kasw,ネルシーニョ,15,4,0,391,18,14,1,6,23,21,24,43,3,4,2,0,30,14,114,13.2%,57.6%,(6.7%),(68.3%),(33.3%),(78.3%),(33.3%),(50.0%),15,3,0,270,20,10,4,11,35,12,21,28,2,1,3,0,21,11,133,11.3%,42.4%,(0.0%),(52.2%),(20.0%),(71.4%),(41.7%),(52.4%),,,,,2.125,1.646
1517,3,0309,新潟,1-0,A,デンカＳ,晴,柏レイソル,2019,kasw,ネルシーニョ,9,2,0,406,19,14,1,6,34,14,13,17,1,0,1,0,28,10,129,7.0%,44.5%,(0.0%),(64.0%),(15.8%),(79.4%),(50.0%),(69.2%),15,4,0,474,20,19,0,4,21,13,24,36,2,1,2,0,46,14,114,13.2%,55.5%,(6.7%),(72.8%),(25.0%),(76.2%),(46.2%),(25.0%),,,,,1.533,0.751
1518,4,0317,京都,1-0,A,西京極,曇,柏レイソル,2019,kasw,ネルシーニョ,7,1,0,723,4,11,3,2,23,8,16,14,1,0,0,0,22,4,100,7.0%,59.3%,(0.0%),(88.5%),(0.0%),(91.3%),(50.0%),(56.3%),12,1,0,489,18,13,0,3,20,4,19,11,4,3,3,0,39,9,96,12.5%,40.7%,(8.3%),(84.3%),(22.2%),(95.0%),(75.0%),(68.4%),,,,,1.146,0.418
1519,5,0323,岡山,0-1,H,三協Ｆ柏,曇,柏レイソル,2019,kasw,ネルシーニョ,12,0,0,493,15,16,0,4,28,9,36,19,1,2,1,0,29,8,137,8.8%,50.1%,(0.0%),(70.6%),(26.7%),(92.9%),(33.3%),(69.4%),8,2,0,434,11,11,2,4,30,8,25,19,2,0,2,0,29,4,135,5.9%,49.9%,(12.5%),(71.4%),(0.0%),(70.0%),(37.5%),(60.0%),,,,,0.614,1.164
1520,6,0330,東京Ｖ,0-2,A,味スタ,曇,柏レイソル,2019,kasw,ネルシーニョ,4,2,0,317,5,16,1,0,21,7,10,60,3,1,0,0,11,5,127,3.1%,37.6%,(50.0%),(68.8%),(20.0%),(71.4%),(14.3%),(70.0%),26,4,0,643,49,8,2,8,21,19,14,14,0,1,1,0,91,23,121,21.5%,62.4%,(0.0%),(79.3%),(24.5%),(95.2%),(36.8%),(64.3%),,,,,2.184,0.342
1521,7,0403,長崎,3-0,H,三協Ｆ柏,晴,柏レイソル,2019,kasw,ネルシーニョ,30,12,0,494,17,14,3,8,9,11,34,24,4,4,1,0,52,22,141,21.3%,50.7%,(10.0%),(78.3%),(52.9%),(88.9%),(72.7%),(70.6%),6,3,0,474,12,18,4,4,18,13,19,22,2,3,3,0,31,6,143,4.2%,49.3%,(0.0%),(73.8%),(25.0%),(88.9%),(61.5%),(73.7%),,,,,0.861,2.412
1522,8,0407,琉球,1-1,A,タピスタ,曇,柏レイソル,2019,kasw,ネルシーニョ,11,5,0,521,18,19,2,7,25,11,17,27,2,1,0,0,34,5,142,7.7%,54.4%,(9.1%),(75.6%),(11.1%),(84.0%),(54.5%),(76.5%),16,8,0,385,14,9,1,7,19,13,29,28,6,2,2,0,28,9,127,12.6%,45.6%,(6.3%),(71.2%),(0.0%),(94.7%),(38.5%),(69.0%),,,,,1.469,0.964
1523,9,0414,栃木,0-0,H,三協Ｆ柏,曇一時雨,柏レイソル,2019,kasw,ネルシーニョ,20,7,0,588,36,11,0,13,39,16,19,21,3,3,1,0,59,13,148,13.5%,62.1%,(0.0%),(71.9%),(13.9%),(92.3%),(50.0%),(78.9%),7,1,0,244,5,12,3,3,19,1,19,64,2,0,0,0,8,3,120,5.8%,37.9%,(0.0%),(54.5%),(20.0%),(57.9%),(100.0%),(68.4%),,,,,0.346,1.963
1524,10,0421,金沢,0-0,A,石川西部,曇,柏レイソル,2019,kasw,ネルシーニョ,16,8,0,318,13,14,3,4,29,5,16,25,3,3,3,0,24,13,147,10.9%,45%,(0.0%),(56.3%),(30.8%),(69.0%),(60.0%),(56.3%),23,9,0,421,17,24,3,7,25,16,18,23,1,3,2,0,37,17,158,14.6%,55%,(0.0%),(65.8%),(17.6%),(84.0%),(56.3%),(72.2%),,,,,2.402,1.908
1525,11,0428,横浜FC,0-0,H,三協Ｆ柏,晴一時曇,柏レイソル,2019,kasw,ネルシーニョ,15,2,0,573,26,15,1,3,21,17,29,21,4,4,0,0,65,19,130,11.5%,57%,(0.0%),(80.5%),(19.2%),(81.0%),(41.2%),(48.3%),12,3,0,419,6,13,5,4,19,9,24,36,4,1,2,0,19,10,131,9.2%,43%,(0.0%),(73.5%),(33.3%),(78.9%),(33.3%),(79.2%),,,,,1.026,1.253
1526,12,0504,鹿児島,1-2,A,白波スタ,晴,柏レイソル,2019,kasw,ネルシーニョ,10,2,0,405,5,19,1,2,19,6,23,27,0,0,3,0,19,5,127,7.9%,46.4%,(20.0%),(78.5%),(40.0%),(84.2%),(33.3%),(65.2%),19,5,0,433,29,21,0,8,29,19,44,12,2,1,1,0,59,14,145,13.1%,53.6%,(5.3%),(74.8%),(17.2%),(89.7%),(52.6%),(65.9%),,,,,2.242,0.829
1527,13,0512,徳島,1-0,H,三協Ｆ柏,晴,柏レイソル,2019,kasw,ネルシーニョ,22,10,0,360,18,13,4,6,23,18,21,23,2,2,1,0,37,14,125,17.6%,40.1%,(4.5%),(71.4%),(27.8%),(91.3%),(50.0%),(71.4%),13,2,0,597,10,14,2,3,21,6,11,21,1,4,3,0,44,14,131,9.9%,59.9%,(0.0%),(81.9%),(40.0%),(85.7%),(33.3%),(81.8%),,,,,0.879,2.573
1528,14,0519,水戸,0-0,A,Ｋｓスタ,晴時々曇,柏レイソル,2019,kasw,ネルシーニョ,7,1,0,367,5,14,1,3,26,8,20,31,3,2,2,0,26,5,134,5.2%,43.9%,(0.0%),(65.9%),(40.0%),(50.0%),(12.5%),(50.0%),20,4,0,545,33,14,2,8,27,22,14,21,3,1,1,0,45,21,140,14.3%,56.1%,(0.0%),(71.4%),(36.4%),(88.9%),(54.5%),(78.6%),,,,,1.75,0.787
1529,15,0526,大宮,1-1,H,三協Ｆ柏,晴,柏レイソル,2019,kasw,ネルシーニョ,19,6,0,511,17,9,1,5,21,11,25,15,5,0,3,0,48,19,134,14.2%,57.5%,(5.3%),(75.1%),(17.6%),(76.2%),(45.5%),(76.0%),14,2,0,325,8,16,0,3,18,7,21,30,2,1,0,0,19,6,133,10.5%,42.5%,(7.1%),(66.2%),(37.5%),(77.8%),(28.6%),(61.9%),,,,,1.138,2.406
1530,16,0601,岐阜,1-0,H,三協Ｆ柏,曇時々晴,柏レイソル,2019,kasw,ネルシーニョ,14,4,0,645,23,15,3,6,21,19,15,20,6,2,1,0,53,18,126,11.1%,62.1%,(7.1%),(78.9%),(30.4%),(85.7%),(42.1%),(66.7%),6,4,0,362,13,9,2,4,24,5,24,28,0,3,1,0,26,5,120,5.0%,37.9%,(0.0%),(66.9%),(7.7%),(70.8%),(40.0%),(66.7%),,,,,0.186,1.541
1531,17,0609,愛媛,1-3,A,ニンスタ,晴,柏レイソル,2019,kasw,ネルシーニョ,22,10,0,390,11,9,2,4,29,19,15,23,2,0,1,0,35,14,119,18.5%,47.2%,(13.6%),(78.5%),(36.4%),(86.2%),(52.6%),(86.7%),10,2,0,492,12,11,0,6,28,10,24,22,4,2,1,0,38,9,119,8.4%,52.8%,(10.0%),(79.7%),(8.3%),(78.6%),(50.0%),(62.5%),,,,,1.13,2.611
1532,18,0616,福岡,1-1,A,レベスタ,晴,柏レイソル,2019,kasw,ネルシーニョ,10,3,0,317,5,15,0,4,18,6,21,46,4,1,0,0,15,3,123,8.1%,39.7%,(10.0%),(71.6%),(0.0%),(88.9%),(66.7%),(76.2%),21,10,0,628,34,9,2,8,29,13,22,25,2,0,0,0,69,17,123,17.1%,60.3%,(4.8%),(81.5%),(20.6%),(93.1%),(76.9%),(72.7%),,,,,1.652,1.019
1533,19,0622,千葉,2-0,H,三協Ｆ柏,曇一時雨,柏レイソル,2019,kasw,ネルシーニョ,20,9,0,431,15,19,2,10,18,13,29,24,3,2,3,0,37,22,130,15.4%,49.8%,(10.0%),(79.1%),(40.0%),(94.4%),(76.9%),(65.5%),3,0,0,404,12,15,2,1,21,6,20,23,0,2,5,0,30,7,113,2.7%,50.2%,(0.0%),(78.2%),(16.7%),(85.7%),(66.7%),(65.0%),,,,,0.242,2.064
1534,20,0629,山形,1-0,A,ＮＤスタ,雨,柏レイソル,2019,kasw,ネルシーニョ,9,2,0,421,13,15,2,7,28,15,16,15,4,1,2,0,32,5,127,7.1%,51.3%,(0.0%),(76.2%),(0.0%),(82.1%),(40.0%),(75.0%),12,6,0,424,18,10,1,8,35,8,15,33,1,2,1,0,32,10,125,9.6%,48.7%,(8.3%),(73.3%),(11.1%),(91.4%),(37.5%),(66.7%),,,,,0.772,0.444
1535,21,0707,甲府,4-2,H,三協Ｆ柏,雨,柏レイソル,2019,kasw,ネルシーニョ,22,10,0,493,23,5,1,11,26,19,19,23,3,7,2,0,43,18,127,17.3%,53.5%,(18.2%),(79.7%),(21.7%),(84.6%),(36.8%),(73.7%),18,9,0,460,14,13,7,3,21,10,14,25,0,1,1,0,45,11,127,14.2%,46.5%,(11.1%),(78.3%),(28.6%),(81.0%),(40.0%),(64.3%),,,,,2.063,2.391
1536,22,0713,徳島,2-1,A,鳴門大塚,雨,柏レイソル,2019,kasw,ネルシーニョ,16,7,0,432,18,13,2,13,28,16,10,10,2,0,3,0,40,10,114,14.0%,56.1%,(6.3%),(81.0%),(11.1%),(71.4%),(31.3%),(80.0%),14,4,0,359,18,11,0,6,12,13,26,33,1,2,0,0,28,12,96,14.6%,43.9%,(14.3%),(76.3%),(22.2%),(100.0%),(61.5%),(53.8%),,,,,1.836,1.053
1537,23,0720,金沢,1-0,H,三協Ｆ柏,曇,柏レイソル,2019,kasw,ネルシーニョ,11,4,0,522,7,8,0,2,22,19,25,41,2,1,1,0,33,10,132,8.3%,58.5%,(9.1%),(78.7%),(14.3%),(81.8%),(52.6%),(76.0%),19,4,0,375,10,12,1,4,34,10,24,15,2,0,1,0,40,10,142,13.4%,41.5%,(0.0%),(70.1%),(30.0%),(67.6%),(30.0%),(75.0%),,,,,2.213,0.606
1538,24,0727,栃木,2-1,A,栃木グ,晴,柏レイソル,2019,kasw,ネルシーニョ,11,3,0,279,18,15,4,10,24,16,15,13,0,2,2,0,23,9,132,8.3%,42.1%,(9.1%),(60.6%),(33.3%),(79.2%),(68.8%),(60.0%),12,6,0,457,11,11,2,0,15,9,11,28,0,4,1,0,27,11,110,10.9%,57.9%,(16.7%),(73.3%),(18.2%),(80.0%),(77.8%),(54.5%),,,,,1.519,1.99
1539,25,0731,岡山,4-0,A,Ｃスタ,晴,柏レイソル,2019,kasw,ネルシーニョ,8,3,0,392,19,8,1,8,20,10,17,15,1,0,0,0,44,8,110,7.3%,46.5%,(0.0%),(78.6%),(21.1%),(85.0%),(20.0%),(47.1%),17,9,0,500,14,15,0,7,17,16,21,28,1,1,1,0,27,10,108,15.7%,53.5%,(17.6%),(83.0%),(0.0%),(94.1%),(62.5%),(71.4%),,,,,2.253,0.686
1540,26,0804,琉球,5-1,H,三協Ｆ柏,晴,柏レイソル,2019,kasw,ネルシーニョ,15,6,0,487,10,11,0,3,17,8,20,17,2,3,3,0,38,15,119,12.6%,54.3%,(33.3%),(80.1%),(10.0%),(94.1%),(50.0%),(55.0%),13,5,0,463,17,12,3,3,17,4,11,12,1,0,0,0,42,10,112,11.6%,45.7%,(7.7%),(80.1%),(17.6%),(70.6%),(75.0%),(72.7%),,,,,0.813,0.647
1541,27,0810,山口,4-1,H,三協Ｆ柏,晴,柏レイソル,2019,kasw,ネルシーニョ,14,9,0,398,8,13,2,3,25,10,24,27,1,2,0,0,33,11,121,11.6%,49.1%,(28.6%),(79.4%),(37.5%),(92.0%),(20.0%),(70.8%),12,2,0,431,19,19,2,6,25,12,23,12,1,2,2,0,41,19,131,9.2%,50.9%,(8.3%),(79.1%),(26.3%),(76.0%),(66.7%),(69.6%),,,,,0.94,1.4
1542,28,0817,長崎,2-1,A,トラスタ,晴,柏レイソル,2019,kasw,ネルシーニョ,7,5,1,359,12,13,1,2,14,16,19,28,1,0,3,0,22,10,103,6.8%,45.8%,(14.3%),(77.7%),(41.7%),(78.6%),(43.8%),(57.9%),18,7,0,490,16,16,0,12,19,12,22,17,1,1,2,0,49,20,122,14.8%,54.2%,(11.1%),(80.2%),(12.5%),(89.5%),(83.3%),(72.7%),,,,,1.451,1.594
1543,29,0825,岐阜,4-0,A,長良川,晴,柏レイソル,2019,kasw,ネルシーニョ,13,4,0,508,13,11,1,5,18,11,19,11,4,2,0,0,34,11,127,10.2%,49.5%,(0.0%),(81.1%),(30.8%),(94.4%),(36.4%),(57.9%),16,9,0,581,17,11,2,5,15,10,19,19,3,1,1,0,59,15,121,13.2%,50.5%,(25.0%),(84.9%),(29.4%),(80.0%),(30.0%),(68.4%),,,,,1.449,1.323
1544,30,0831,新潟,1-1,H,三協Ｆ柏,曇,柏レイソル,2019,kasw,ネルシーニョ,21,5,0,494,22,13,2,3,25,8,22,24,0,1,1,0,62,16,124,16.9%,59.2%,(4.8%),(80.8%),(36.4%),(96.0%),(62.5%),(63.6%),12,7,0,300,14,12,1,6,28,15,20,26,1,2,2,0,22,8,131,9.2%,40.8%,(8.3%),(68.7%),(14.3%),(85.7%),(40.0%),(65.0%),,,,,0.678,1.844
1545,31,0907,山形,3-4,H,三協Ｆ柏,晴,柏レイソル,2019,kasw,ネルシーニョ,20,7,0,467,25,10,1,10,23,17,25,21,2,5,3,0,62,15,122,16.4%,62.4%,(15.0%),(78.8%),(12.0%),(87.0%),(52.9%),(84.0%),10,5,0,231,6,21,5,3,18,15,22,40,3,1,0,0,15,7,130,7.7%,37.6%,(40.0%),(63.2%),(16.7%),(77.8%),(33.3%),(68.2%),,,,,1.236,1.559
1546,32,0914,甲府,1-1,A,中銀スタ,曇,柏レイソル,2019,kasw,ネルシーニョ,13,4,0,382,21,17,4,8,23,10,10,23,0,2,0,0,34,9,129,10.1%,48.4%,(7.7%),(72.5%),(23.8%),(73.9%),(20.0%),(90.0%),14,6,0,395,14,9,2,3,18,9,19,51,1,4,4,0,39,13,120,11.7%,51.6%,(7.1%),(74.9%),(21.4%),(77.8%),(66.7%),(68.4%),,,,,1.286,1.225
1547,33,0922,愛媛,2-1,H,三協Ｆ柏,曇,柏レイソル,2019,kasw,ネルシーニョ,19,9,0,572,22,10,1,5,23,16,16,21,2,0,1,0,44,16,119,16.0%,52.7%,(10.5%),(82.3%),(22.7%),(82.6%),(50.0%),(81.3%),13,7,0,519,12,14,0,4,27,8,17,27,2,1,1,0,30,14,120,10.8%,47.3%,(7.7%),(83.2%),(16.7%),(77.8%),(62.5%),(58.8%),,,,,0.815,1.955
1548,34,0928,東京Ｖ,3-0,H,三協Ｆ柏,曇,柏レイソル,2019,kasw,ネルシーニョ,16,6,0,439,15,9,1,6,21,8,30,27,1,4,0,0,50,15,97,16.5%,42.9%,(18.8%),(80.9%),(13.3%),(90.5%),(37.5%),(63.3%),7,1,0,635,12,8,5,6,24,13,8,22,2,1,1,0,43,3,105,6.7%,57.1%,(0.0%),(88.2%),(8.3%),(95.8%),(23.1%),(75.0%),,,,,0.421,1.154
1549,35,1006,横浜FC,0-1,A,ニッパツ,曇のち晴,柏レイソル,2019,kasw,ネルシーニョ,10,4,0,449,24,15,0,6,21,12,20,28,1,0,1,0,29,11,111,9.0%,52.9%,(10.0%),(81.1%),(16.7%),(81.0%),(25.0%),(35.0%),16,3,0,413,21,15,0,7,24,13,24,39,2,0,3,0,45,12,108,14.8%,47.1%,(0.0%),(77.7%),(19.0%),(87.5%),(61.5%),(62.5%),,,,,1.039,0.601
1550,36,1014,水戸,2-3,H,三協Ｆ柏,雨,柏レイソル,2019,kasw,ネルシーニョ,21,5,0,615,29,13,0,10,29,15,20,21,2,0,0,0,74,18,133,15.8%,62.5%,(9.5%),(79.2%),(13.8%),(93.1%),(60.0%),(70.0%),14,5,0,279,11,7,1,4,11,9,30,37,5,0,1,0,23,11,107,13.1%,37.5%,(21.4%),(65.9%),(18.2%),(100.0%),(44.4%),(56.7%),,,,,1.487,1.853
1551,37,1020,千葉,3-0,A,フクアリ,曇のち晴,柏レイソル,2019,kasw,ネルシーニョ,6,1,0,440,9,12,2,3,16,8,18,15,2,1,0,0,31,7,102,5.9%,46.2%,(0.0%),(76.1%),(11.1%),(87.5%),(37.5%),(50.0%),20,10,0,503,9,15,1,6,20,6,21,17,3,2,1,0,31,9,115,17.4%,53.8%,(15.0%),(83.5%),(22.2%),(80.0%),(83.3%),(47.6%),,,,,1.463,0.545
1552,38,1027,福岡,4-0,H,三協Ｆ柏,曇時々晴,柏レイソル,2019,kasw,ネルシーニョ,23,7,0,656,14,13,0,9,19,15,21,20,3,1,0,0,56,13,114,20.2%,59%,(17.4%),(86.6%),(28.6%),(100.0%),(46.7%),(81.0%),5,1,0,427,11,3,1,6,17,11,21,26,0,0,1,0,26,4,105,4.8%,41%,(0.0%),(79.9%),(18.2%),(94.1%),(27.3%),(71.4%),,,,,0.537,2.356
1553,39,1102,大宮,1-2,A,ＮＡＣＫ,晴,柏レイソル,2019,kasw,ネルシーニョ,11,4,0,237,8,14,0,2,18,11,24,36,1,0,1,0,21,8,107,10.3%,31.2%,(18.2%),(70.9%),(0.0%),(77.8%),(54.5%),(79.2%),22,5,0,713,21,14,0,4,19,17,32,23,1,0,1,0,72,21,112,19.6%,68.8%,(4.5%),(86.8%),(38.1%),(89.5%),(41.2%),(71.9%),,,,,1.65,1.223
1554,40,1109,鹿児島,3-0,H,三協Ｆ柏,晴,柏レイソル,2019,kasw,ネルシーニョ,18,9,0,474,14,11,0,8,28,8,29,25,6,7,1,0,36,16,131,13.7%,50.8%,(16.7%),(78.1%),(35.7%),(85.7%),(62.5%),(72.4%),12,3,0,478,15,15,7,4,29,13,13,26,0,0,0,0,43,14,135,8.9%,49.2%,(0.0%),(79.3%),(26.7%),(93.1%),(46.2%),(38.5%),,,,,0.497,1.944
1555,41,1116,町田,3-0,A,町田,晴,柏レイソル,2019,kasw,ネルシーニョ,10,4,0,451,26,8,1,7,45,13,27,20,3,4,0,0,39,12,159,6.3%,46%,(0.0%),(66.7%),(7.7%),(82.2%),(30.8%),(66.7%),14,6,0,528,19,14,4,10,20,9,32,29,1,1,0,0,45,13,140,10.0%,54%,(21.4%),(72.5%),(26.3%),(85.0%),(44.4%),(56.3%),,,,,1.799,1.247
1556,42,1124,京都,13-1,H,三協Ｆ柏,曇,柏レイソル,2019,kasw,ネルシーニョ,25,18,0,477,15,7,1,3,8,9,27,13,1,1,3,0,40,24,99,25.3%,44.4%,(52.0%),(84.1%),(53.3%),(87.5%),(77.8%),(74.1%),18,8,0,624,10,15,0,4,15,7,11,16,3,1,0,0,62,15,107,16.8%,55.6%,(5.6%),(88.6%),(30.0%),(100.0%),(85.7%),(90.9%),,,,,1.531,3.668
1557,1,0222,札幌,4-2,H,三協Ｆ柏,曇,柏レイソル,2020,kasw,ネルシーニョ,26,12,0,429,13,8,0,7,17,16,40,40,6,2,1,0,47,16,150,17.3%,49.4%,(15.4%),(72.5%),(15.4%),(82.4%),(43.8%),(75.0%),27,7,0,507,22,9,2,7,26,24,25,17,2,0,0,0,55,22,156,17.3%,50.6%,(7.4%),(75.0%),(40.9%),(92.3%),(66.7%),(44.0%),204,"119,540m",209,"116,872m",3.582,2.361
1558,2,0704,FC東京,0-1,H,三協Ｆ柏,曇,柏レイソル,2020,kasw,ネルシーニョ,10,1,0,483,9,14,2,2,24,10,19,16,3,2,3,1,56,10,113,8.8%,54.8%,(0.0%),(82.4%),(22.2%),(87.5%),(40.0%),(73.7%),11,4,0,383,7,12,2,5,23,13,19,20,3,2,1,0,31,8,114,9.6%,45.2%,(9.1%),(78.1%),(42.9%),(82.6%),(46.2%),(73.7%),138,"105,034m",133,"99,842m",1.866,0.727
1559,3,0708,横浜FC,1-3,H,三協Ｆ柏,曇,柏レイソル,2020,kasw,ネルシーニョ,16,4,0,446,16,11,3,7,25,9,17,18,1,3,1,0,44,13,117,13.7%,48.9%,(6.3%),(75.1%),(25.0%),(84.0%),(66.7%),(58.8%),4,2,0,478,6,7,3,1,28,9,18,30,4,3,1,0,34,5,116,3.4%,51.1%,(50.0%),(80.1%),(0.0%),(75.0%),(22.2%),(66.7%),148,"111,125m",160,"108,314m",0.667,2.089
1560,4,0711,川崎Ｆ,1-3,A,等々力,曇,柏レイソル,2020,kasw,ネルシーニョ,14,7,0,662,13,15,1,6,19,11,14,17,5,0,3,0,76,19,128,10.9%,56.1%,(21.4%),(86.4%),(23.1%),(89.5%),(54.5%),(85.7%),5,1,0,462,11,11,0,4,23,4,30,19,3,1,2,0,31,4,125,4.0%,43.9%,(20.0%),(75.8%),(9.1%),(91.3%),(50.0%),(60.0%),151,"110,730m",150,"111,258m",0.519,1.345
1561,5,0718,湘南,3-2,H,三協Ｆ柏,曇,柏レイソル,2020,kasw,ネルシーニョ,12,4,1,390,22,5,0,5,24,9,15,28,1,5,1,0,40,15,109,11.0%,44.8%,(25.0%),(71.5%),(18.2%),(75.0%),(55.6%),(66.7%),10,6,0,504,13,15,5,4,16,10,13,24,1,0,1,0,36,8,114,8.8%,55.2%,(20.0%),(78.4%),(30.8%),(100.0%),(40.0%),(69.2%),186,"116,626m",175,"114,577m",1.357,1.877
1562,6,0722,浦和,4-0,A,埼玉,曇のち雨,柏レイソル,2020,kasw,ネルシーニョ,17,4,0,598,17,11,2,5,27,12,16,13,2,0,1,0,50,12,131,13.0%,55.6%,(0.0%),(80.1%),(5.9%),(88.9%),(33.3%),(87.5%),10,7,0,430,9,13,0,1,20,3,18,36,4,2,2,0,29,4,123,8.1%,44.4%,(40.0%),(75.8%),(22.2%),(90.0%),(0.0%),(50.0%),129,"111,968m",156,"109,051m",0.949,1.121
1563,7,0726,仙台,5-1,H,三協Ｆ柏,曇一時雨,柏レイソル,2020,kasw,ネルシーニョ,16,8,1,469,15,8,3,4,20,11,16,32,2,0,0,0,41,15,109,14.7%,49.5%,(31.3%),(82.3%),(13.3%),(100.0%),(63.6%),(62.5%),14,4,0,509,18,12,0,4,23,11,15,12,3,3,1,0,34,10,117,12.0%,50.5%,(7.1%),(80.7%),(33.3%),(91.3%),(90.9%),(40.0%),128,"115,331m",145,"114,077m",1.643,2.522
1564,8,0801,名古屋,1-0,A,豊田ス,晴,柏レイソル,2020,kasw,ネルシーニョ,12,3,0,461,11,15,0,0,36,12,13,16,1,2,2,0,35,11,126,9.5%,49.8%,(0.0%),(77.9%),(18.2%),(83.3%),(41.7%),(61.5%),7,3,0,457,6,12,2,4,18,4,26,24,1,0,2,0,34,6,108,6.5%,50.2%,(14.3%),(76.8%),(0.0%),(83.3%),(25.0%),(38.5%),134,"109,488m",147,"113,591m",0.352,1.292
1565,9,0808,横浜FM,1-1,A,日産ス,晴,柏レイソル,2020,kasw,ネルシーニョ,17,5,0,794,34,20,4,7,24,16,18,14,3,3,1,0,95,29,122,13.9%,64.9%,(5.9%),(87.5%),(14.7%),(100.0%),(43.8%),(77.8%),11,3,0,266,9,10,3,7,18,7,27,35,2,4,1,0,14,9,115,9.6%,35.1%,(9.1%),(70.3%),(22.2%),(94.4%),(28.6%),(59.3%),123,"111,410m",142,"118,548m",0.688,1.354
1566,10,0815,Ｃ大阪,1-3,H,三協Ｆ柏,晴,柏レイソル,2020,kasw,ネルシーニョ,22,8,0,534,31,11,3,5,22,12,18,11,0,2,2,0,77,23,111,19.8%,55.6%,(4.5%),(81.8%),(19.4%),(86.4%),(50.0%),(88.9%),6,3,0,347,4,15,2,1,14,8,14,44,2,3,1,0,18,4,106,5.7%,44.4%,(33.3%),(77.8%),(0.0%),(78.6%),(37.5%),(64.3%),86,"106,918m",113,"104,126m",0.429,2.297
1567,11,0819,神戸,3-2,A,ノエスタ,晴,柏レイソル,2020,kasw,ネルシーニョ,21,9,0,573,21,13,0,9,29,11,12,9,3,1,1,0,55,20,119,17.6%,64.4%,(9.5%),(85.0%),(28.6%),(82.8%),(45.5%),(75.0%),13,7,0,260,7,11,2,3,17,7,14,35,1,0,0,0,26,7,97,13.4%,35.6%,(23.1%),(72.7%),(14.3%),(82.4%),(57.1%),(71.4%),159,"106,248m",176,"108,826m",1.096,2.126
1568,12,0823,大分,0-0,A,昭和電ド,屋内,柏レイソル,2020,kasw,ネルシーニョ,10,2,0,531,22,8,2,3,24,4,17,32,1,2,1,0,44,11,99,10.1%,54.6%,(0.0%),(82.7%),(36.4%),(91.7%),(75.0%),(70.6%),16,5,0,436,11,5,2,4,21,9,20,19,4,2,2,0,40,13,92,17.4%,45.4%,(0.0%),(80.5%),(18.2%),(85.7%),(44.4%),(55.0%),122,"106,924m",149,"112,596m",1.489,1.483
1569,13,0829,鹿島,2-3,H,三協Ｆ柏,晴,柏レイソル,2020,kasw,ネルシーニョ,11,4,0,281,8,17,5,4,21,5,20,20,0,3,4,1,21,10,113,9.7%,42.8%,(18.2%),(70.1%),(37.5%),(61.9%),(60.0%),(55.0%),22,8,0,473,18,11,3,7,22,9,9,13,0,3,1,0,62,21,116,19.0%,57.2%,(13.6%),(78.9%),(50.0%),(95.5%),(44.4%),(77.8%),122,"108,953m",160,"101,261m",1.877,0.744
