,選手名,選手名（英字）,前所属チーム,生年月日,所属チーム
7,富樫　敬真,Cayman TOGASHI,駒林ＳＣ－横浜Ｆ・マリノスＪｒユース－日本大高－関東学院大－横浜Ｆ・マリノス－ＦＣ東京－横浜Ｆ・マリノス－ＦＣ町田ゼルビア,1993/08/10,Ｖ・ファーレン長崎
8,ルアン,LUAN Madson Gedeao De Pavia,アトレチコ　ソロカーバ／ブラジル－ポンチ　プレッタ／ブラジル－アトレチコ　ミネイロ／ブラジル,1990/08/11,Ｖ・ファーレン長崎
9,玉田　圭司,Keiji TAMADA,入船中－習志野高－柏レイソル－名古屋グランパス－セレッソ大阪－名古屋グランパス,1980/04/11,Ｖ・ファーレン長崎
10,加藤　大,Masaru KATO,ＦＣ杉野Ｊｒユース－三菱養和ＳＣユース－アルビレックス新潟－愛媛ＦＣ－アルビレックス新潟－愛媛ＦＣ－アルビレックス新潟－アビスパ福岡－アルビレックス新潟,1991/05/07,Ｖ・ファーレン長崎
11,名倉　巧,Takumi NAGURA,ＦＣ．ＬＥＥＺＵ－ＦＣ東京Ｕ－１５深川－国学院久我山高－ＦＣ琉球,1998/06/03,Ｖ・ファーレン長崎
12,加藤　聖,Hijiri KATO,ヴィッセル神戸Ｕ－１２－鹿の子台ＦＣ－ＪＦＡアカデミー福島Ｕ－１５－ＪＦＡアカデミー福島Ｕ－１８,2001/09/16,Ｖ・ファーレン長崎
13,毎熊　晟矢,Seiya MAIKUMA,黒髪ＦＣジュニア－ＪＦＣレインボー長崎－ＦＣ　ＢＲＩＳＴＯＬ　Ｕ－１５－東福岡高－桃山学院大,1997/10/16,Ｖ・ファーレン長崎
14,秋野　央樹,Hiroki AKINO,柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル－湘南ベルマーレ－柏レイソル－湘南ベルマーレ－柏レイソル－湘南ベルマーレ－Ｖ・ファーレン長崎－湘南ベルマーレ,1994/10/08,Ｖ・ファーレン長崎
15,山崎　亮平,Ryohei YAMAZAKI,ＪＯＧＯ　ＵＮＩＴＥＤ－ＦＣ千葉なのはなＪｒユース－八千代高－ジュビロ磐田－アルビレックス新潟－柏レイソル,1989/03/14,Ｖ・ファーレン長崎
16,澤田　崇,Takashi SAWADA,熊本アクアＳＣ－菊陽中－大津高－中央大－ロアッソ熊本－清水エスパルス,1991/05/26,Ｖ・ファーレン長崎
17,大竹　洋平,Yohei OTAKE,八潮中央サッカースポーツ少年団－ＦＣ東京Ｕ－１５－ＦＣ東京Ｕ－１８－ＦＣ東京－セレッソ大阪－ＦＣ東京－湘南ベルマーレ－ＦＣ東京－湘南ベルマーレ－ファジアーノ岡山,1989/05/02,Ｖ・ファーレン長崎
18,高木和　徹,Toru TAKAGIWA,野木サッカースポーツ少年団－ヴェルディＳＳ小山－清水エスパルスユース－清水エスパルス－ジェフユナイテッド千葉－清水エスパルス－Ｖ・ファーレン長崎－清水エスパルス,1995/04/15,Ｖ・ファーレン長崎
19,鍬先　祐弥,Yuya KUWASAKI,山里小－長崎南山中－東福岡高－早稲田大,1998/05/15,Ｖ・ファーレン長崎
20,米田　隼也,Shunya YONEDA,中井サッカー少年団－ＦＣ　ＮＥＯ－静岡学園高－順天堂大,1995/11/05,Ｖ・ファーレン長崎
21,江川　湧清,Yusei EGAWA,深江ＦＣ－ＦＣＫマリーゴールド熊本－Ｖ・ファーレン長崎Ｕ－１８,2000/10/24,Ｖ・ファーレン長崎
22,新里　亮,Ryo SHINZATO,マルヤスＦＣ８３－リバーサイドＦＣ－岡崎城西高－中京大－水戸ホーリーホック－ヴァンフォーレ甲府－ジュビロ磐田－ガンバ大阪－ジュビロ磐田,1990/07/02,Ｖ・ファーレン長崎
23,二見　宏志,Hiroshi FUTAMI,セントラルＦＣ奈良－高田ＦＣ－奈良育英高－阪南大－ベガルタ仙台－清水エスパルス,1992/03/20,Ｖ・ファーレン長崎
24,都倉　賢,Ken TOKURA,キンダー善光ＳＣ－横浜Ｆ・マリノスＪｒユース菅田－川崎フロンターレＵ－１８－川崎フロンターレ－ザスパ草津－川崎フロンターレ－ザスパ草津－ヴィッセル神戸－北海道コンサドーレ札幌－セレッソ大阪,1986/06/16,Ｖ・ファーレン長崎
25,徳重　健太,Kenta TOKUSHIGE,武中－小野中－国見高－浦和レッズ－セレッソ大阪－浦和レッズ－ヴィッセル神戸－浦和レッズ－ヴィッセル神戸－浦和レッズ－ヴィッセル神戸－浦和レッズ－ヴィッセル神戸－浦和レッズ－ヴィッセル神戸,1984/03/09,Ｖ・ファーレン長崎
26,原田　岳,Gaku HARADA,バディーＳＣ－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－横浜Ｆ・マリノス－ＳＣ相模原－横浜Ｆ・マリノス－ＳＣ相模原－横浜Ｆ・マリノス,1998/05/22,Ｖ・ファーレン長崎
27,ビクトル　イバルボ,Segundo VICTOR IBARBO Guerrero,アトレチコ　ナシオナル／コロンビア－カリアリ　カルチョ／イタリア－ローマ／イタリア－カリアリ　カルチョ／イタリア－ローマ／イタリア－ワトフォード／イングランド－アトレチコ　ナシオナル／コロンビア－パナシナイコスＦＣ／ギリシャ－カリアリ　カルチョ／イタリア－サガン鳥栖－カリアリ　カルチョ／イタリア－サガン鳥栖－Ｖ・ファーレン長崎－サガン鳥栖,1990/05/19,Ｖ・ファーレン長崎
28,植中　朝日,Asahi UENAKA,小倉南ＦＣ－ＪＦＡアカデミー福島Ｕ－１５－ＪＦＡアカデミー福島Ｕ－１８,2001/11/01,Ｖ・ファーレン長崎
29,五月田　星矢,Seiya SATSUKIDA,ＪＦＣレインボー長崎－Ｖ・ファーレン長崎Ｕ－１５－Ｖ・ファーレン長崎Ｕ－１８,2002/04/18,Ｖ・ファーレン長崎
30,安部　大晴,Taisei ABE,Ｖ・ファーレン長崎Ｕ－１２－Ｖ・ファーレン長崎Ｕ－１５,2004/06/07,Ｖ・ファーレン長崎
0,ダニー　カルバハル,Dany Gabriel Carvajal Rodriguez(DANY CARVAJAL),ブルハスＦＣ／コスタリカ－サン　カルロス／コスタリカ－デポルティーボ　サプリサ／コスタリカ－アルバセテ／スペイン－徳島ヴォルティス－水戸ホーリーホック,1989/01/08,ＦＣ琉球
1,鳥養　祐矢,Yuya TORIKAI,ジェフユナイテッド市原Ｊｒユース辰巳－ジェフユナイテッド千葉ユース－ジェフリザーブズ－ＳＡＧＡＷＡ　ＳＨＩＧＡ　ＦＣ－ＦＣ琉球－レノファ山口ＦＣ,1988/05/11,ＦＣ琉球
2,福井　諒司,Ryoji FUKUI,ガンバ大阪ジュニア－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８－福岡大－東京ヴェルディ－ギラヴァンツ北九州－東京ヴェルディ－柏レイソル－東京ヴェルディ－レノファ山口ＦＣ－水戸ホーリーホック－レノファ山口ＦＣ－水戸ホーリーホック,1987/08/07,ＦＣ琉球
3,岡﨑　亮平,Ryohei OKAZAKI,荻野ＳＣ－湘南ベルマーレＪｒユース－湘南ベルマーレユース－中央大－湘南ベルマーレ－ロアッソ熊本－湘南ベルマーレ,1992/04/25,ＦＣ琉球
4,フェリペ　タヴァレス,Felipe Pereira Tavares(FELIPE TAVARES),ドゥケ　デ　カシアス／ブラジル－サンタクルゼンセ／ブラジル－アトレチコ　リネンセ／ブラジル－リオ　ブランコＥＣ／ブラジル－アトレチコ　リネンセ／ブラジル－リオクラレンセ／ブラジル－アトレチコ　リネンセ／ブラジル－アナポリナ／ブラジル－ミラソルＦＣ／ブラジル－オリンピアＦＣ／ブラジル－ＳＥガマ／ブラジル－アナポリスＦＣ／ブラジル,1994/02/24,ＦＣ琉球
5,風間　宏希,Koki KAZAMA,江尻サッカースポーツ少年団－清水ＦＣ－清水商高－ロウレターノＤＣ／ポルトガル－ＴｕＳコブレンツ／ドイツ－川崎フロンターレ－ギラヴァンツ北九州－モンテディオ山形－ザスパクサツ群馬－モンテディオ山形,1991/06/19,ＦＣ琉球
6,田中　恵太,Keita TANAKA,三菱養和ＳＣＪｒユース－三菱養和ＳＣユース－明治大－ＡＣ長野パルセイロ－ＦＣ琉球－水戸ホーリーホック－ＦＣ琉球－水戸ホーリーホック,1989/12/26,ＦＣ琉球
7,風間　宏矢,Koya KAZAMA,江尻サッカースポーツ少年団－清水ＦＣ－清水商高－川崎フロンターレ－大分トリニータ－ＦＣ岐阜－大分トリニータ－ＦＣ岐阜－ＦＣ琉球－ＦＣ岐阜,1993/04/16,ＦＣ琉球
8,李　栄直,LEE Yong Jick,ＦＣルイラモスヴェジット－大阪セントラルＦＣ－東大阪朝鮮中級学校－大阪朝鮮高級学校－大阪商大－徳島ヴォルティス－Ｖ・ファーレン長崎－カマタマーレ讃岐－東京ヴェルディ,1991/02/08,ＦＣ琉球
9,富所　悠,Yu TOMIDOKORO,ヴェルディジュニア－ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ－ＡＣ長野パルセイロ,1990/04/21,ＦＣ琉球
10,中川　風希,Kazaki NAKAGAWA,武南Ｊｒユース－武南高－関東学院大－バジェカス／スペイン－ベティス　サン　イシドロ／スペイン－ＦＣ琉球－横浜Ｆ・マリノス－京都サンガF.C.,1995/07/03,ＦＣ琉球
11,清武　功暉,Koki KIYOTAKE,大分トリニータＵ－１５－大分トリニータＵ－１８－福岡大－サガン鳥栖－ロアッソ熊本－サガン鳥栖－ロアッソ熊本－サガン鳥栖－ジェフユナイテッド千葉－徳島ヴォルティス,1991/03/20,ＦＣ琉球
12,沼田　圭悟,Keigo NUMATA,高崎ＦＣイーグル－高崎ＦＣ－高崎経済大付属高－ＣＡＬバリリ／ブラジル－ＣＡグアスアーノ／ブラジル－ガンバ大阪－カマタマーレ讃岐－ガンバ大阪－カマタマーレ讃岐－大宮アルディージャ－ツエーゲン金沢,1990/07/24,ＦＣ琉球
13,知念　哲矢,Tetsuya CHINEN,仲井真・真地ＦＣ－識名ＦＣ－石田中－長崎総合科学大附属高－近畿大,1997/11/08,ＦＣ琉球
14,阿部　拓馬,Takuma ABE,小平ＦＣイレブン－ＦＣ　ＶＩＤＡ－横河武蔵野ＦＣユース－法政大－東京ヴェルディ－ＶｆＲアーレン／ドイツ－ヴァンフォーレ甲府－ＦＣ東京－蔚山現代ＦＣ／大韓民国－ベガルタ仙台,1987/12/05,ＦＣ琉球
15,積田　景介,Keisuke TSUMITA,五井中－市立船橋高－駒澤大,1993/06/23,ＦＣ琉球
16,清水　慎太郎,Shintaro SHIMIZU,新座片山ＦＣ少年団－浦和レッズＪｒユース－西武台高－大宮アルディージャ－ファジアーノ岡山－大宮アルディージャ－ファジアーノ岡山－大宮アルディージャ－水戸ホーリーホック－大宮アルディージャ－ファジアーノ岡山,1992/08/23,ＦＣ琉球
17,人見　拓哉,Takuya HITOMI,埼玉ＦＣ－ＡＳ栃木ｂｏｍ　ｄｅ　ｂｏｌａ大田原－ＡＳ栃木ｂｏｍ　ｄｅ　ｂｏｌａ－矢板中央高－立正大,1997/12/18,ＦＣ琉球
18,上里　一将,Kazumasa UESATO,平良南小－平良中－宮古高－コンサドーレ札幌－ＦＣ東京－コンサドーレ札幌－徳島ヴォルティス－北海道コンサドーレ札幌－ロアッソ熊本,1986/03/13,ＦＣ琉球
19,上原　慎也,Shinya UEHARA,坂田ＦＣ－西原中－西原高－沖縄大－北海道コンサドーレ札幌－愛媛ＦＣ,1986/09/29,ＦＣ琉球
20,上原　牧人,Makito UEHARA,高良ＦＣ－小禄中－那覇西高－城西国際大,1998/11/20,ＦＣ琉球
21,池田　廉,Ren IKEDA,船橋海神スポーツクラブ－ＦＣ習志野－習志野高－拓殖大,1997/11/10,ＦＣ琉球
22,赤嶺　真吾,Shingo AKAMINE,ＦＣ小禄－小禄中－鹿児島実業高－駒澤大－ＦＣ東京－ベガルタ仙台－ＦＣ東京－ベガルタ仙台－ガンバ大阪－ファジアーノ岡山－ガンバ大阪－ファジアーノ岡山,1983/12/08,ＦＣ琉球
23,山下　令雄,Reo YAMASHITA,ガンバ大阪Ｊｒユース－ガンバ大阪ユース－近畿大,1998/05/19,ＦＣ琉球
24,田口　潤人,Junto TAGUCHI,横浜ジュニオールＳＣ－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－横浜Ｆ・マリノス－藤枝ＭＹＦＣ－横浜Ｆ・マリノス－アルビレックス新潟,1996/09/28,ＦＣ琉球
25,茂木　駿佑,Shunsuke MOTEGI,柏レイソルＵ－１２－柏レイソルＵ－１５－ベガルタ仙台ユース－ベガルタ仙台－ツエーゲン金沢－ベガルタ仙台－水戸ホーリーホック－ベガルタ仙台－水戸ホーリーホック,1996/10/02,ＦＣ琉球
26,ハモン,RAMON De Araujo Siqueira,フルミネンセＦＣ　Ｕ－１３／ブラジル－フルミネンセＦＣ　Ｕ－１５／ブラジル－フルミネンセＦＣ　Ｕ－１７／ブラジル－フルミネンセＦＣ　Ｕ－２０／ブラジル－ＣＳＡ／ブラジル－フルミネンセＦＣ／ブラジル－ＦＣ琉球－ガイナーレ鳥取,1998/09/19,ＦＣ琉球
27,市丸　瑞希,Mizuki ICHIMARU,玉櫛ＪＳＣ－ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－ＦＣ岐阜－ガンバ大阪－ＦＣ琉球－ガンバ大阪,1997/05/08,ＦＣ琉球
28,村瀬　悠介,Yusuke MURASE,ステイクール－セレッソ大阪Ｕ－１５－阪南大付属高－大阪教育大,1998/04/09,ＦＣ琉球
29,猪瀬　康介,Kosuke INOSE,鹿島アントラーズつくばジュニア－鹿島アントラーズつくばＪｒユース－流通経済大付属柏高,2000/12/25,ＦＣ琉球
30,澤田　将,Sho SAWADA,フロンティアトルナーレＳＣ－ＣＥサバデルＵ－１４／スペイン－ＣＥサバデルＵ－１６／スペイン－ＣＥサバデルＵ－１９／スペイン,2003/04/12,ＦＣ琉球
0,高島　康四郎,Koshiro TAKASHIMA,松陽中－東山高－専修大,1998/08/20,ヴァンラーレ八戸
1,前田　柊,Shu MAEDA,ＦＣ四日市２００１－ＦＣ四日市－ジュビロ磐田Ｕ－１８－神奈川大,1993/12/02,ヴァンラーレ八戸
2,赤松　秀哉,Shuya AKAMATSU,向陽中－北海道大谷室蘭高－金沢星稜大－ラインメール青森ＦＣ－Ｋａｓｅｍ　Ｂｕｎｄｉｔ　Ｕｎ／タイ－Ｓｕｒａｔｔｈａｎｉ　Ｃｉｔｙ／タイ－Ｌａｏ　Ｔｏｙｏｔａ　ＦＣ／ラオス,1993/05/19,ヴァンラーレ八戸
3,中村　太一,Taichi NAKAMURA,常葉学園橘中－常葉学園橘高－新潟経営大－ラインメール青森ＦＣ,1993/01/05,ヴァンラーレ八戸
4,高見　啓太,Keita TAKAMI,龍野西中－ヴィッセル神戸Ｕ－１８－国士舘大,1993/07/30,ヴァンラーレ八戸
5,上形　洋介,Yosuke KAMIGATA,スポーツ会館ＦＣ－ＦＣ東京Ｕ－１５深川－早稲田実業高－早稲田大－Ｖ・ファーレン長崎－栃木ＳＣ－Ｖ・ファーレン長崎－栃木ＳＣ,1992/09/25,ヴァンラーレ八戸
6,新井山　祥智,Shochi NIIYAMA,川内中－光星学院高－八戸大,1985/04/13,ヴァンラーレ八戸
7,岡　佳樹,Yoshiki OKA,能勢フェニックスＳＣ－日生中央ＳＣ－伊丹ＦＣ－東山高－桃山学院大－松本山雅ＦＣ－アスルクラロ沼津－松本山雅ＦＣ－ＡＣ長野パルセイロ,1994/04/26,ヴァンラーレ八戸
8,丸岡　悟,Satoru MARUOKA,川内中－セレッソ大阪Ｕ－１８－近畿大,1997/12/06,ヴァンラーレ八戸
9,前澤　甲気,Koki MAEZAWA,清水エスパルスＪｒユース－専修大－ソニー仙台ＦＣ－アスルクラロ沼津,1993/03/21,ヴァンラーレ八戸
10,板倉　洸,Takeru ITAKURA,横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－東洋大,1998/04/06,ヴァンラーレ八戸
11,小林　大智,Daichi KOBAYASHI,賢明ＳＣ－作陽高－桃山学院大,1999/01/07,ヴァンラーレ八戸
12,廣瀬　智行,Tomoyuki HIROSE,北海道大谷室蘭高－城西国際大－東京武蔵野シティＦＣ－ラインメール青森ＦＣ,1994/09/03,ヴァンラーレ八戸
13,佐々木　快,Kai SASAKI,リベロ津軽ＳＣ　Ｕ－１５－青森山田高－新潟医療福祉大,1998/10/20,ヴァンラーレ八戸
14,島田　拓海,Takumi SHIMADA,奈良ＹＭＣＡ－奈良育英高－大阪経済大－奈良クラブ,1996/08/25,ヴァンラーレ八戸
15,坪井　一真,Kazuma TSUBOI,八尾太陽リンクスＳＣ－セレッソ大阪西Ｕ－１５－セレッソ大阪Ｕ－１８－近畿大,1998/12/09,ヴァンラーレ八戸
16,横山　卓司,Takuji YOKOYAMA,富岡高－新潟医療福祉大－グルージャ盛岡－ラインメール青森ＦＣ,1990/04/19,ヴァンラーレ八戸
17,原山　海里,Kairi HARAYAMA,クマガヤＳＣ－青森山田高－東京学芸大－いわてグルージャ盛岡,1997/11/01,ヴァンラーレ八戸
18,丹羽　一陽,Kazuya NIWA,名古屋グランパスＵ－１５－藤枝明誠高－新潟経営大,1998/06/25,ヴァンラーレ八戸
19,黒石　貴哉,Takaya KUROISHI,ヴィッセル神戸Ｕ－１５－神戸国際大附属高－姫路獨協大－ＭＩＯびわこ滋賀,1997/02/24,ヴァンラーレ八戸
20,伊勢　渉,Wataru ISE,舞子中－神戸国際大附属高－駒澤大－ホンダロックＳＣ,1996/07/18,ヴァンラーレ八戸
21,蔦　颯,Hayate TSUTA,藤沢ＦＣ－SCH.FC－前橋育英高－専修大－アルティスタ浅間－ザスパクサツ群馬,1995/06/07,ヴァンラーレ八戸
22,近石　哲平,Teppei CHIKAISHI,ＤＲＥＡＭ　ＦＣ－近畿大付属高－近畿大－ＳＡＧＡＷＡ　ＳＨＩＧＡ　ＦＣ－アミティエＳＣ京都－ＦＣガンジュ岩手－ラインメール青森ＦＣ－奈良クラブ,1989/01/31,ヴァンラーレ八戸
23,秋吉　泰佑,Taisuke AKIYOSHI,ブレイズ熊本ジュニア－ルーテル学院中－ルーテル学院高－アルビレックス新潟・Ｓ／シンガポール－アームド　フォーシズ／シンガポール－ＰＦＣスラヴィア　ソフィ／ブルガリア－ＮＫズビエ／ボスニア・ヘルツェゴビナ－ＳＫシュトゥルム　グラ／オーストリア－ヴァンフォーレ甲府－ファジアーノ岡山－ラインメール青森ＦＣ,1989/04/18,ヴァンラーレ八戸
24,相田　勇樹,Yuki AIDA,あきる野ＦＣ－山梨学院高－札幌大,1998/08/03,ヴァンラーレ八戸
0,土井　康平,Kohei DOI,学園小寺ＳＣ－ヴィッセル神戸Ｊｒユース－ヴィッセル神戸ユース－ヴィッセル神戸－水戸ホーリーホック－ヴィッセル神戸－愛媛ＦＣしまなみ－グルージャ盛岡－京都サンガF.C.,1988/12/24,いわてグルージャ盛岡
1,藤井　航大,Kodai FUJII,蜷川ＳＳＣ－みなみＦＣＪｒユース－鹿島アントラーズユース－東京学芸大－カマタマーレ讃岐－ＦＣ町田ゼルビア,1991/01/13,いわてグルージャ盛岡
2,牟田　雄祐,Yusuke MUTA,博多中－筑陽学園高－福岡大－名古屋グランパス－京都サンガF.C.－ＦＣ今治－京都サンガF.C.,1990/09/22,いわてグルージャ盛岡
3,石井　圭太,Keita ISHII,東京ヴェルディジュニア－横浜ＦＣＪｒユース－横浜ＦＣユース－横浜ＦＣ－グルージャ盛岡－横浜ＦＣ,1995/06/22,いわてグルージャ盛岡
4,モレラト,MORELATTO Da Cruz Lucas,パルメイラス／ブラジル－ボア　エスポルチ／ブラジル－エストリール／ポルトガル－オルハネンセ／ポルトガル－マフラ／ポルトガル－マフラ／ポルトガル－ヴィラフランクエンセ／ポルトガル－ファティマ／ポルトガル,1994/05/25,いわてグルージャ盛岡
5,脇本　晃成,Kosei WAKIMOTO,サンフレッチェ広島Ｊｒユース－サンフレッチェ広島ユース－東京学芸大－カターレ富山,1994/01/08,いわてグルージャ盛岡
6,韓　勇太,HAN Yong Thae,東京朝鮮高－朝鮮大－松本山雅ＦＣ－鹿児島ユナイテッドＦＣ－松本山雅ＦＣ－栃木ＳＣ－松本山雅ＦＣ,1996/10/30,いわてグルージャ盛岡
7,ブレンネル,Alves Sabino BRENNER,インテルナシオナル／ブラジル－オエスチ／ブラジル－ヴェイレＢＫ／デンマーク,1999/01/10,いわてグルージャ盛岡
8,色摩　雄貴,Yuki SHIKAMA,鹿島アントラーズＪｒユース－鹿島アントラーズユース－東京学芸大,1997/10/01,いわてグルージャ盛岡
9,嫁阪　翔太,Shota YOMESAKA,リップエースＳＣ－リップエースＳＣＪｒユース－ガンバ大阪ユース－ガンバ大阪,1996/10/19,いわてグルージャ盛岡
10,加々美　登生,Toi KAGAMI,ヴァンフォーレ甲府Ｕ－１５－ヴァンフォーレ甲府Ｕ－１８－桐蔭横浜大,1999/02/15,いわてグルージャ盛岡
11,平川　元樹,Genki HIRAKAWA,北海道コンサドーレ札幌Ｕ－１２－北海道コンサドーレ札幌Ｕ－１５－北海道コンサドーレ札幌Ｕ－１８－日本体育大,1996/07/08,いわてグルージャ盛岡
12,中村　太亮,Taisuke NAKAMURA,京都パープルサンガジュニア－京都パープルサンガＪｒユース－金光大阪高－京都サンガF.C.－アルビレックス新潟－京都サンガF.C.－モンテディオ山形－ジェフユナイテッド千葉－ジュビロ磐田－大宮アルディージャ,1989/07/19,いわてグルージャ盛岡
13,宮市　剛,Tsuyoshi MIYAICHI,シルフィードＦＣ－名古屋グランパスＵ１５－中京大付属中京高－湘南ベルマーレ－水戸ホーリーホック－湘南ベルマーレ－ガイナーレ鳥取－湘南ベルマーレ－ＭＩＯびわこ滋賀－湘南ベルマーレ－グルージャ盛岡－湘南ベルマーレ,1995/06/01,いわてグルージャ盛岡
14,松山　健太,Kenta MATSUYAMA,椎田中－九州国際大付属高－桃山学院大,1998/11/17,いわてグルージャ盛岡
15,西田　恵,Megumu NISHIDA,ＥＸＥ’９０ＦＣ－関西大北陽高－大阪体育大－ツエーゲン金沢,1998/01/10,いわてグルージャ盛岡
16,鈴木　智幸,Tomoyuki SUZUKI,美園中－浦和東高－国士舘大－東京ヴェルディ－栃木ＳＣ－松本山雅ＦＣ－東京ヴェルディ,1985/12/20,いわてグルージャ盛岡
17,佐々木　翔悟,Shogo SASAKI,鹿島アントラーズつくばＪｒユース－鹿島アントラーズユース－鹿島アントラーズ－いわてグルージャ盛岡－鹿島アントラーズ,2000/07/25,いわてグルージャ盛岡
18,山川　廉,Ren YAMAKAWA,アスペガスＦＣ－ヴィッセル神戸Ｕ－１８－大阪教育大,1998/07/07,いわてグルージャ盛岡
19,佐々木　祐太,Yuta SASAKI,ＦＣ稲毛－習志野高－インデペンディエンテ／パラグアイ－ＶｆＲマンハイム／ドイツ－１．ＦＣ　ブルッフザール／ドイツ－ヴェルフェ矢板－ダブリンバスＦＣ／アイルランド－チェリーオーチャードＦ／アイルランド－キャビンティーリー／アイルランド,1996/02/10,いわてグルージャ盛岡
20,有永　一生,Kazuki ARINAGA,国見中－国見高－関東学院大－ＡＣ長野パルセイロ,1989/03/03,いわてグルージャ盛岡
21,ビスマルク,Tabinas Paul BISMARCK,ＦＣトリプレッタ　－青森山田高,2002/07/05,いわてグルージャ盛岡
22,オタボー,OTABOR Kenneth,ＬＢ　Ｓｐｏｒｔｓ　Ｄ／ナイジェリア－高知中央高,2002/05/13,いわてグルージャ盛岡
23,増田　隼司,Shunji MASUDA,レオＳＣ－東海大翔洋高－近畿大,1998/08/13,いわてグルージャ盛岡
24,武田　拓真,Takuma TAKEDA,南紀ジュニアＳＣ－高雄中－中央学院高－東海学園大－ファジアーノ岡山,1995/10/12,いわてグルージャ盛岡
25,武者　大夢,Hiromu MUSHA,北海道大谷室蘭高－関東学院大,1999/01/07,いわてグルージャ盛岡
26,小野田　将人,Masahito ONODA,吉備ＦＣ－サウーディＦＣ－柳ヶ浦高－ＦＣ今治－ＦＣ今治－湘南ベルマーレ－モンテディオ山形,1996/05/04,いわてグルージャ盛岡
27,栗島　健太,Kenta KURISHIMA,流通経済大付属柏高－早稲田大－アルビレックス新潟シン／シンガポール,1997/04/19,いわてグルージャ盛岡
28,田平　起也,Tatsuya TABIRA,長池つばさＦＣフューチャーズ－セレッソ大阪Ｕ－１５－神戸弘陵学園高－セレッソ大阪,2001/05/10,いわてグルージャ盛岡
29,中野　雅臣,Masaomi NAKANO,ネオスＦＣ－東京ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ－ＦＣ今治－東京ヴェルディ－いわてグルージャ盛岡－東京ヴェルディ,1996/04/09,いわてグルージャ盛岡
0,ファンティーニ　燦,Akira FANTINI,チェゼーナ／イタリア－サガン鳥栖,1998/05/24,福島ユナイテッドＦＣ
1,鎌田　翔雅,Shoma KAMATA,湘南ベルマーレジュニア－湘南ベルマーレＪｒユース－湘南ベルマーレユース－湘南ベルマーレ－ジェフユナイテッド千葉－湘南ベルマーレ－ファジアーノ岡山－湘南ベルマーレ－清水エスパルス－ブラウブリッツ秋田,1989/06/15,福島ユナイテッドＦＣ
2,河西　真,Makoto KAWANISHI,前橋育英高－産業能率大,1996/06/21,福島ユナイテッドＦＣ
3,宇佐美　宏和,Hirokazu USAMI,セレッソ大阪Ｕ－１２－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８－関西大－栃木ＳＣ－湘南ベルマーレ－モンテディオ山形,1987/06/18,福島ユナイテッドＦＣ
4,岡田　亮太,Ryota OKADA,横浜Ｆ・マリノスプライマリー菅田－柏レイソル青梅－帝京第三高－帝京大,1988/09/09,福島ユナイテッドＦＣ
5,諸岡　裕人,Hiroto MOROOKA,正智深谷高－国士舘大,1997/01/04,福島ユナイテッドＦＣ
6,遊佐　克美,Katsumi YUSA,ジェイム福島ジュニア－ジェイム福島Ｊｒユース－サンフレッチェ広島ユース－サンフレッチェ広島－ツエーゲン金沢－ＦＣ岐阜ＳＥＣＯＮＤ－サン　ロレンソ／パラグアイ－ＯＮＧＣ　ＦＣ／インド－ モフン　バガンＡＣ／インド－ノースイースト　ユナイテッド／インド－イースト　ベンガルＦＣ／インド－ネロカＦＣ／インド－チェンナイ　シティＦＣ／インド,1988/08/02,福島ユナイテッドＦＣ
7,イスマイラ,Origbaajo ISMAILA,ロイヤル　フットボール／ナイジェリア－ゲートウェイＦＣ／ナイジェリア－バリガ　プロフェッショ／ナイジェリア－サークル　デ　ヨアヒム／モーリシャス,1998/08/04,福島ユナイテッドＦＣ
8,トカチ,Omer Berke TOKAC,レバークーゼンＵ１２／ドイツ－レバークーゼンＵ１５／ドイツ－レバークーゼンＵ１７／ドイツ－レバークーゼンＵ１９／ドイツ－湘南ベルマーレ－福島ユナイテッドＦＣ－湘南ベルマーレ,2000/10/26,福島ユナイテッドＦＣ
9,雪江　悠人,Hiroto YUKIE,修徳高－立正大,1996/06/09,福島ユナイテッドＦＣ
10,田中　康介,Kosuke TANAKA,京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８－立命館大,1999/02/01,福島ユナイテッドＦＣ
11,青山　景昌,Hiroaki AOYAMA,津島ＳＳＳ－名古屋グランパスＵ－１２－名古屋グランパスＵ－１５－名古屋グランパスＵ－１８－中央大－びわこ成蹊スポーツ大,1996/10/14,福島ユナイテッドＦＣ
12,服部　一輝,Kazuki HATTORI,札幌大谷高－明治大－カターレ富山－カマタマーレ讃岐,1995/03/16,福島ユナイテッドＦＣ
13,延　祐太,Yuta NOBE,ＪＦＡアカデミー福島Ｕ－１５－ＪＦＡアカデミー福島Ｕ－１８－立命館大,1998/06/04,福島ユナイテッドＦＣ
