,選手名,選手名（英字）,生年月日,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
1463,河辺　駿太郎,Shuntaro KAWABE,1996/05/26,Ｙ．Ｓ．Ｃ．Ｃ．横浜,ジェイリースＦＣ,ＴＳＧプフェッダースハイム／ドイツ,ＦＶディーフレン／ドイツ,明治大,大分西中,ＦＣ　ＲＥＧＡＴＥ,,,,,,,,,,,,,,,
1464,菊谷　篤資,Atsushi KIKUTANI,1997/06/18,Ｙ．Ｓ．Ｃ．Ｃ．横浜,ＦＣバイエルン　アルツェナウ／ドイツ,ＴＳＧプフェッダースハイム／ドイツ,ＴＳＧブレッツェンハイム／ドイツ,江戸川大,聖和学園高,ヴィヴァイオ船橋Ｓ．ＣＪｒユース,,,,,,,,,,,,,,,
1465,谷　俊勲,Shunkun TANI,1993/08/11,Ｙ．Ｓ．Ｃ．Ｃ．横浜,台中Ｆｕｔｕｒ／チャイニーズタイペイ,Ｙ．Ｓ．Ｃ．Ｃ．横浜,ブリオベッカ浦安,エストゥディアンテス デ ／スペイン,アルビレックス新潟シン／シンガポール,日本大学,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５むさし,ＦＣブラジル渋谷,,,,,,,,,,,,
1466,秋葉　信秀,Nobuhide AKIBA,1985/04/10,Ｙ．Ｓ．Ｃ．Ｃ．横浜,Ｖｏｎｄｓ市原,ジェフリザーブズ,ザスパ草津,静岡産業大,ジェフユナイテッド市原ユース,ジェフユナイテッド市原Ｊｒユース,,,,,,,,,,,,,,,
1467,一宮　憲太,Kenta ICHIMIYA,1998/02/24,Ｙ．Ｓ．Ｃ．Ｃ．横浜,ベランビＦＣ／オーストラリア,平成国際大,桐生第一高,ＡＺ８６東京青梅,,,,,,,,,,,,,,,,,
1468,大城　蛍,Kei OSHIRO,2000/09/16,Ｙ．Ｓ．Ｃ．Ｃ．横浜,浦和レッズ,ガイナーレ鳥取,浦和レッズ,浦和レッズユース,Ｗウイング沖縄ＦＣ,イレブン与那原,,,,,,,,,,,,,,,
1469,上田　航平,Kohei UEDA,1998/06/26,Ｙ．Ｓ．Ｃ．Ｃ．横浜,台中Ｆｕｔｕｒ／チャイニーズタイペイ,Ｙ．Ｓ．Ｃ．Ｃ．横浜,Ｙ．Ｓ．Ｃ．Ｃ．横浜Ｕ-１８,Ｙ．Ｓ．Ｃ．Ｃ．Ｊｒユース,Ｙ．Ｓ．Ｃ．Ｃ．アカデミークラス,Ｙ．Ｓ．Ｃ．Ｃ．スクール,,,,,,,,,,,,,,,
1470,宮内　寛斗,Hiroto MIYAUCHI,1998/01/23,Ｙ．Ｓ．Ｃ．Ｃ．横浜,ヴェルスパ大分,松江シティＦＣ,Ｙ．Ｓ．Ｃ．Ｃ．横浜,Ｙ．Ｓ．Ｃ．Ｃ．横浜Ｕ-１８,ＢＡＮＦＦ横浜ベイ,上中里ＳＣ,,,,,,,,,,,,,,,
1471,日高　アレクサンドル,Alexandre BEBENYONHIDAKA(Alexandre HIDAKA),2000/04/09,Ｙ．Ｓ．Ｃ．Ｃ．横浜,Ｙ．Ｓ．Ｃ．Ｃ．セカンド,橘学苑高,ＦＣ　ＡＳＡＨＩ,,,,,,,,,,,,,,,,,,
1472,田中　謙吾,Kengo TANAKA,1989/12/30,ＡＣ長野パルセイロ,松本山雅ＦＣ,ＡＣ長野パルセイロ,日本体育大,暁星高,暁星中,,,,,,,,,,,,,,,,
1473,喜岡　佳太,Keita YOSHIOKA,1997/10/05,ＡＣ長野パルセイロ,新潟医療福祉大,市立船橋高,ＦＣトッカーノＵ-１５,烏山北ＦＣ,,,,,,,,,,,,,,,,,
1474,秋山　拓也,Takuya AKIYAMA,1994/08/26,ＡＣ長野パルセイロ,徳島ヴォルティス,ヴァンフォーレ甲府,アルビレックス新潟シン／シンガポール,大阪体育大,愛知産業大三河高,ＳＣ豊田,豊南ＪＦＴ,,,,,,,,,,,,,,
1475,内田　恭兵,Kyohei UCHIDA,1992/11/05,ＡＣ長野パルセイロ,京都サンガF.C.,関西大,ジュビロ磐田ユース,ジュビロ沼津,,,,,,,,,,,,,,,,,
1476,広瀬　健太,Kenta HIROSE,1992/06/26,ＡＣ長野パルセイロ,アルビレックス新潟,湘南ベルマーレ,栃木ＳＣ,湘南ベルマーレ,栃木ＳＣ,湘南ベルマーレ,日本体育大,浦和レッズユース,浦和レッズＪｒユース,川口北ＳＣ,,,,,,,,,,,
1477,坪川　潤之,Hiroyuki TSUBOKAWA,1997/05/15,ＡＣ長野パルセイロ,東洋大,矢板中央高,札幌ジュニアＦＣ Ｕ-１５,札幌ジュニアＦＣ Ｕ-１２,京都ズイーガＳＣ,札幌南サッカー少年団,,,,,,,,,,,,,,,
1478,水谷　拓磨,Takuma MIZUTANI,1996/04/24,ＡＣ長野パルセイロ,清水エスパルス,ＦＣ今治,清水エスパルス,清水エスパルスユース,清水エスパルスＪｒユース,,,,,,,,,,,,,,,,
1479,藤山　智史,Tomofumi FUJIYAMA,1994/04/23,ＡＣ長野パルセイロ,ブラウブリッツ秋田,鹿屋体育大,四日市中央工高,伊賀ＦＣＪｒユース,ふたばサッカースポーツ少年団,,,,,,,,,,,,,,,,
1480,牧野　寛太,Kanta MAKINO,1997/06/02,ＡＣ長野パルセイロ,関西大,履正社高,ガンバ大阪Ｊｒユース,盾津東ＦＣ,,,,,,,,,,,,,,,,,
1481,東　浩史,Hiroshi AZUMA,1987/05/15,ＡＣ長野パルセイロ,Ｖ・ファーレン長崎,愛媛ＦＣ,阪南大,ＦＣみやぎバルセロナユース,ＦＣみやぎバルセロナＪｒユース,,,,,,,,,,,,,,,,
1482,榊　翔太,Shota SAKAKI,1993/08/03,ＡＣ長野パルセイロ,栃木ＳＣ,ＳＶホルン／オーストリア,コンサドーレ札幌,コンサドーレ札幌Ｕ-１８,清水中,清水サッカー少年団,,,,,,,,,,,,,,,
1483,佐野　翼,Tsubasa SANO,1994/10/18,ＡＣ長野パルセイロ,ロアッソ熊本,アルビレックス新潟Ｓ／シンガポール,順天堂大,清水商高,ＡＣＮジュビロ沼津,富士宮東サッカースポーツ少年団,,,,,,,,,,,,,,,
1484,三田　尚希,Naoki SANDA,1992/08/16,ＡＣ長野パルセイロ,ヴァンラーレ八戸,ＦＣ今治,ラインメール青森ＦＣ,法政大,青森山田高,上松中,,,,,,,,,,,,,,,
1485,宮阪　政樹,Masaki MIYASAKA,1989/07/15,ＡＣ長野パルセイロ,ザスパクサツ群馬,松本山雅ＦＣ,大分トリニータ,松本山雅ＦＣ,モンテディオ山形,明治大,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５,,,,,,,,,,,,,
1486,森川　裕基,Yuki MORIKAWA,1993/01/07,ＡＣ長野パルセイロ,カマタマーレ讃岐,立命館大,洛北高,京都紫光クラブ,南太秦サッカースポーツ少年団,,,,,,,,,,,,,,,,
1487,金園　英学,Hidetaka KANAZONO,1988/09/01,ＡＣ長野パルセイロ,ヴァンフォーレ甲府,北海道コンサドーレ札幌,ベガルタ仙台,ジュビロ磐田,関西大,立正大淞南高,,,,,,,,,,,,,,,
1488,山口　和樹,Kazuki YAMAGUCHI,1995/05/15,ＡＣ長野パルセイロ,ＦＣ琉球,湘南ベルマーレ,国士舘大,日本航空高,柏レイソルＵ-１５,愛知ＦＣ,名古屋グランパスＵ-１２,,,,,,,,,,,,,,
1489,武田　太一,Taichi TAKEDA,1997/04/22,ＡＣ長野パルセイロ,徳島ヴォルティス,早稲田大,ガンバ大阪ユース,枚方ＦＣ,,,,,,,,,,,,,,,,,
1490,吉村　弦,Yuzuru YOSHIMURA,1996/05/21,ＡＣ長野パルセイロ,同志社大,ガンバ大阪ユース,高槻ＦＣ,,,,,,,,,,,,,,,,,,
1491,矢田貝　壮貴,Soki YATAGAI,1998/06/11,ＡＣ長野パルセイロ,大阪体育大,京都橘高,ＦＣ平野,,,,,,,,,,,,,,,,,,
1492,住永　翔,Kakeru SUMINAGA,1998/10/06,ＡＣ長野パルセイロ,明治大,青森山田高,北海道コンサドーレ札幌Ｕ-１５,三笠ＦＣ　Ｕ-１２,,,,,,,,,,,,,,,,,
1493,髙窪　健人,Kento TAKAKUBO,1998/07/17,ＡＣ長野パルセイロ,中央大,浦和南高,川口芝中,ＡＣフツーロ,Ｐ．Ｆ．Ｐ　ｃｕｍｅ,,,,,,,,,,,,,,,,
1494,藤森　亮志,Ryoji FUJIMORI,1997/04/11,ＡＣ長野パルセイロ,立正大,上田西高,諏訪ＦＣジュニアユース,諏訪ＦＣプライマリー,,,,,,,,,,,,,,,,,
1495,大桃　海斗,Kaito OMOMO,1997/10/28,ＡＣ長野パルセイロ,早稲田大,帝京長岡高,長岡ＪｒユースＦＣ　Ｕ-１５,Ｊドリーム三条,,,,,,,,,,,,,,,,,
1496,小西　陽向,Hinata KONISHI,2001/12/21,ＡＣ長野パルセイロ,ＡＣ長野パルセイロＵ-１８,ＡＣ長野パルセイロＵ-１５,ＮＰＩＣ　ＨＥＲＥＮＣＩＡ　ＦＣ,,,,,,,,,,,,,,,,,,
1497,川田　拳登,Kento KAWATA,1997/07/09,ＡＣ長野パルセイロ,大宮アルディージャ,ＡＣ長野パルセイロ,大宮アルディージャ,栃木ＳＣ,大宮アルディージャ,栃木ＳＣ,大宮アルディージャ,栃木ＳＣ,大宮アルディージャ,ザスパクサツ群馬,大宮アルディージャ,大宮アルディージャユース,大宮アルディージャＪｒユース,大宮アルディージャジュニア,大宮早起きサッカースポーツ少年団,,,,,,
1498,王　暁峰,WANG Xiao Feng,2001/07/01,ＡＣ長野パルセイロ,広州恒大淘宝足球倶楽部／中国,河南建業／中国,広州恒大淘宝足球倶楽部／中国,杭州緑城／中国,,,,,,,,,,,,,,,,,
1499,寺沢　優太,Yuta TERASAWA,1993/07/31,ＡＣ長野パルセイロ,沖縄ＳＶ,奈良クラブ,ヒラル　マロク　ベルグハイム／ドイツ,関東学院大,東京都市大塩尻高,ＦＣ.ＣＥＤＡＣ,岡谷東部ＦＣ,,,,,,,,,,,,,,
1500,山本　龍平,Ryuhei YAMAMOTO,2000/07/16,ＡＣ長野パルセイロ,松本山雅ＦＣ,モンテディオ山形,松本山雅ＦＣ,四日市中央工高,ＴＳＶ１９７３四日市,川島サッカー少年団,,,,,,,,,,,,,,,
1501,金　珉浩,KIM Minho,2000/01/26,ＡＣ長野パルセイロ,サガン鳥栖,輔仁高／大韓民国,,,,,,,,,,,,,,,,,,,
1502,上米良　柊人,Shuto KAMMERA,1996/07/02,ＡＣ長野パルセイロ,ＳＣ相模原,新潟医療福祉大,湘南工科大附属高,上溝中,,,,,,,,,,,,,,,,,
1503,西部　洋平,Yohei NISHIBE,1980/12/01,カターレ富山,清水エスパルス,川崎フロンターレ,湘南ベルマーレ,清水エスパルス,浦和レッズ,清水エスパルス,浦和レッズ,清水エスパルス,浦和レッズ,鹿島アントラーズ,浦和レッズ,帝京第三高,,,,,,,,,
1504,黒木　聖仁,Masato KUROGI,1989/10/24,カターレ富山,京都サンガF.C.,Ｖ・ファーレン長崎,ヴァンフォーレ甲府,Ｖ・ファーレン長崎,セレッソ大阪,Ｖ・ファーレン長崎,セレッソ大阪,日章学園高,土々呂中,黒潮ＳＳＳ,,,,,,,,,,,
1505,戸根　一誓,Issei TONE,1996/05/22,カターレ富山,東海学園大,興国高,,,,,,,,,,,,,,,,,,,
1506,今瀬　淳也,Junya IMASE,1993/01/03,カターレ富山,水戸ホーリーホック,カターレ富山,水戸ホーリーホック,国士舘大,市立船橋高,三井千葉ＳＣ,青葉台ＦＣ,,,,,,,,,,,,,,
1507,碓井　鉄平,Teppei USUI,1991/11/03,カターレ富山,Ｖ・ファーレン長崎,カターレ富山,Ｖ・ファーレン長崎,ザスパクサツ群馬,Ｖ・ファーレン長崎,ＡＣ長野パルセイロ,Ｖ・ファーレン長崎,駒澤大,山梨学院大付属高,ＦＣ東京Ｕ-１５むさし,東京ヴェルディジュニア,,,,,,,,,,
1508,佐々木　陽次,Yoji SASAKI,1992/07/02,カターレ富山,徳島ヴォルティス,カターレ富山,徳島ヴォルティス,東京学芸大,ＦＣ東京Ｕ-１８,富山北ＦＣ,新庄スポーツ少年団,,,,,,,,,,,,,,
1509,高橋　駿太,Shunta TAKAHASHI,1989/02/09,カターレ富山,ザスパクサツ群馬,ＡＣ長野パルセイロ,ＦＣ琉球,栃木ウーヴァＦＣ,日立栃木ウーヴァＳＣ,モンテディオ山形,富山第一高,,,,,,,,,,,,,,
1510,大野　耀平,Yohei ONO,1994/12/06,カターレ富山,京都サンガF.C.,カターレ富山,京都サンガF.C.,常葉大,帝京高,浦和レッズＪｒユース,高島平ＳＣ,,,,,,,,,,,,,,
1511,花井　聖,Sho HANAI,1989/11/10,カターレ富山,ギラヴァンツ北九州,Ｖ・ファーレン長崎,徳島ヴォルティス,名古屋グランパス,名古屋グランパスエイトＵ-１８,名古屋グランパスエイトＪｒユース,,,,,,,,,,,,,,,
1512,大﨑　淳矢,Junya OSAKI,1991/04/02,カターレ富山,栃木ＳＣ,レノファ山口ＦＣ,徳島ヴォルティス,サンフレッチェ広島,徳島ヴォルティス,サンフレッチェ広島,サンフレッチェ広島ユース,富山北ＦＣ,富山北ＦＣジュニア,,,,,,,,,,,,
1513,安藤　由翔,Naoto ANDO,1991/08/28,カターレ富山,藤枝ＭＹＦＣ,ギラヴァンツ北九州,栃木ＳＣ,レノファ山口ＦＣ,ガイナーレ鳥取,京都産業大,ＦＣライオスユース,ＦＣライオスＪｒユース,若草少年ＳＣ,,,,,,,,,,,,
1514,濱　大耀,Taiyo HAMA,1998/06/14,カターレ富山,北海道コンサドーレ札幌,北海道コンサドーレ札幌Ｕ-１８,クラブフィールズＵ-１５,クラブフィールズＵ-１２,,,,,,,,,,,,,,,,,
1515,松岡　大智,Daichi MATSUOKA,1999/01/23,カターレ富山,国士舘大,セレッソ大阪Ｕ-１８,カターレ富山Ｕ-１５,ＪＫキッズなめりかわ,,,,,,,,,,,,,,,,,
1516,末木　裕也,Hiroya SUEKI,1997/05/16,カターレ富山,法政大,ヴァンフォーレ甲府Ｕ-１８,ヴァンフォーレ甲府Ｕ-１５,フォルトゥナＳＣ,,,,,,,,,,,,,,,,,
1517,姫野　宥弥,Yuya HIMENO,1996/09/27,カターレ富山,大分トリニータ,藤枝ＭＹＦＣ,大分トリニータ,ザスパクサツ群馬,大分トリニータ,ヴェルスパ大分,大分トリニータ,大分トリニータＵ-１８,ＨＯＹＯ　ＡＣ　ＥＬＡＮ大分Ｕ-１５,大分トリニータＵ-１２,,,,,,,,,,,
1518,松澤　彰,Akira MATSUZAWA,1997/09/18,カターレ富山,法政大,浦和レッズユース,名古屋ＦＣ,,,,,,,,,,,,,,,,,,
1519,柳下　大樹,Daiki YAGISHITA,1995/08/09,カターレ富山,松本山雅ＦＣ,帝京高,浦和レッズＪｒユース,高島平ＳＣ,,,,,,,,,,,,,,,,,
1520,音泉　翔眞,Shoma OTOIZUMI,1996/07/07,カターレ富山,Ｙ．Ｓ．Ｃ．Ｃ．横浜,東京２３ＦＣ,東京国際大,関東第一高,ヴィヴァイオ船橋Ｓ．ＣＪｒユース,稲荷木ＳＳＣ,,,,,,,,,,,,,,,
1521,田中　勘太,Kanta TANAKA,1998/01/03,カターレ富山,びわこ成蹊スポーツ大,ベガルタ仙台ユース,ベガルタ仙台Ｊｒユース,ＦＣサンアルタス大船渡,,,,,,,,,,,,,,,,,
1522,椎名　伸志,Nobuyuki SHIINA,1991/10/15,カターレ富山,松本山雅ＦＣ,カターレ富山,松本山雅ＦＣ,カターレ富山,松本山雅ＦＣ,流通経済大,青森山田高,札幌ジュニアＦＣユース,札幌ジュニアＦＣ,,,,,,,,,,,,
1523,林堂　眞,Makoto RINDO,1989/11/21,カターレ富山,愛媛ＦＣ,ヴァンフォーレ甲府,ガイナーレ鳥取,ヴァンフォーレ甲府,駒澤大,習志野高,ヴィヴァイオ船橋,柏レイソルＵ-１２,清水ＦＣ,,,,,,,,,,,,
1524,松本　雄真,Yuma MATSUMOTO,1999/11/14,カターレ富山,新潟医療福祉大在学中,尚志高,柏ラッセルＦＣ,,,,,,,,,,,,,,,,,,
1525,佐々木　一輝,Ikki SASAKI,1991/02/19,カターレ富山,徳島ヴォルティス,京都産業大,徳島商高,徳島ＦＣリベリモ,北井上小,,,,,,,,,,,,,,,,
1526,馬渡　隼暉,Junki MAWATARI,1996/10/03,カターレ富山,おこしやす京都ＡＣ,カターレ富山,アミティエＳＣ京都,カターレ富山,カターレ富山ユース,カターレ富山Ｊｒユース,コナンキッカーズ,,,,,,,,,,,,,,
1527,吉平　翼,Tsubasa YOSHIHIRA,1998/01/05,カターレ富山,藤枝ＭＹＦＣ,大分トリニータ,藤枝ＭＹＦＣ,大分トリニータ,ブラウブリッツ秋田,大分トリニータ,大分トリニータＵ-１８,大分トリニータＵ-１５,大分トリニータＵ-１２,,,,,,,,,,,,
1528,齋藤　和希,Kazuki SAITO,1996/07/26,カターレ富山,大阪学院大,セレッソ大阪Ｕ-１８,セレッソ大阪Ｕ-１５,枚方ＦＣ,,,,,,,,,,,,,,,,,
1529,戸高　弘貴,Hiroki TODAKA,1991/11/18,カターレ富山,ＦＣ町田ゼルビア,立命館大,静岡学園高,大分トリニータＵ-１５,大分トリニータＵ-１２,ｐｌａｙ,鶴岡ｓ,彦陽ジュニア,,,,,,,,,,,,,
1530,鈴木　翔登,Shoto SUZUKI,1992/10/16,カターレ富山,ロアッソ熊本,ギラヴァンツ北九州,ロアッソ熊本,流通経済大,流通経済大付属柏高,坂戸ディプロマッツ,川越福原ＳＣ,,,,,,,,,,,,,,
1531,田中　佑昌,Yusuke TANAKA,1986/02/03,カターレ富山,ヴァンフォーレ甲府,ジェフユナイテッド千葉,アビスパ福岡,アビスパ福岡Ｕ-１８,八女ＦＣＪｒユース,八女ＦＣ,,,,,,,,,,,,,,,
1532,杉本　拓也,Takuya SUGIMOTO,1989/12/31,藤枝ＭＹＦＣ,ガイナーレ鳥取,日本大,藤枝明誠高,藤枝明誠ＳＣ,榛原ＦＣ,住吉ＳＳＳ,,,,,,,,,,,,,,,
1533,川島　將,Nobuyuki KAWASHIMA,1992/02/04,藤枝ＭＹＦＣ,ギラヴァンツ北九州,藤枝ＭＹＦＣ,ザスパクサツ群馬,藤枝ＭＹＦＣ,ザスパクサツ群馬,栃木ウーヴァＦＣ,東京国際大,東久留米総合高,東京久留米ＦＣ,,,,,,,,,,,,
1534,鈴木　翔太,Shota SUZUKI,1996/11/21,藤枝ＭＹＦＣ,東京学芸大,清水エスパルスユース,清水エスパルスＪｒユース,高洲南サッカースポーツ少年団,,,,,,,,,,,,,,,,,
1535,秋山　貴嗣,Takashi AKIYAMA,1992/10/07,藤枝ＭＹＦＣ,ガイナーレ鳥取,関西大,ヴィッセル神戸ユース,丸亀南中,城南小,,,,,,,,,,,,,,,,
1536,岩間　雄大,Yudai IWAMA,1986/02/21,藤枝ＭＹＦＣ,栃木ＳＣ,松本山雅ＦＣ,Ｖ・ファーレン長崎,アルテ高崎,ＦＣコリア,堀越学園高,東京ヴェルディジュニア,,,,,,,,,,,,,,
1537,秋本　倫孝,Michitaka AKIMOTO,1982/09/24,藤枝ＭＹＦＣ,タイ　ホンダ　ＦＣ／タイ,カターレ富山,京都サンガF.C.,ヴァンフォーレ甲府,法政大,清水商高,城山中,,,,,,,,,,,,,,
1538,鈴木　惇,Jun SUZUKI,1989/04/22,藤枝ＭＹＦＣ,アビスパ福岡,大分トリニータ,アビスパ福岡,東京ヴェルディ,アビスパ福岡,アビスパ福岡Ｕ-１８,アビスパ福岡Ｕ-１５,アビスパ福岡Ｕ-１２,湊坂ＦＣ,,,,,,,,,,,,
1539,岩渕　良太,Ryota IWABUCHI,1990/04/26,藤枝ＭＹＦＣ,グルージャ盛岡,ＳＣ相模原,松本山雅ＦＣ,ＦＣ琉球,松本山雅ＦＣ,レノファ山口ＦＣ,松本山雅ＦＣ,明治大,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５深川,関前ＳＣ,,,,,,,,,,
1540,大石　治寿,Tsugutoshi OISHI,1989/09/25,藤枝ＭＹＦＣ,ＳＣ相模原,レノファ山口ＦＣ,栃木ＳＣ,藤枝ＭＹＦＣ,ＦＣ刈谷,神奈川大,静岡学園高,ヴェルディ相模原,,,,,,,,,,,,,
1541,押谷　祐樹,Yuki OSHITANI,1989/09/23,藤枝ＭＹＦＣ,徳島ヴォルティス,名古屋グランパス,ファジアーノ岡山,ジュビロ磐田,ファジアーノ岡山,ジュビロ磐田,ＦＣ岐阜,ジュビロ磐田,ＦＣ岐阜,ジュビロ磐田,ＦＣ岐阜,ジュビロ磐田,ジュビロ磐田ユース,ヤマハジュビロＳＳ浜北,,,,,,,
1542,宮本　拓弥,Takuya MIYAMOTO,1993/05/21,藤枝ＭＹＦＣ,Ｙ．Ｓ．Ｃ．Ｃ．横浜,水戸ホーリーホック,早稲田大,流通経済大付属柏高,ウィングスＳＳ習志野,柏レイソルＵ-１５,柏レイソルＵ-１２,,,,,,,,,,,,,,
1543,堀　研太,Kenta HORI,1999/04/09,藤枝ＭＹＦＣ,ラインメール青森ＦＣ,横浜Ｆ・マリノス,ブラウブリッツ秋田,横浜Ｆ・マリノス,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース,横浜Ｆ・マリノスプライマリー,あざみ野ＦＣ,,,,,,,,,,,,,
1544,谷澤　達也,Tatsuya YAZAWA,1984/10/03,藤枝ＭＹＦＣ,ＳＣ相模原,ＦＣ町田ゼルビア,ジェフユナイテッド千葉,ＦＣ町田ゼルビア,ジェフユナイテッド千葉,ＦＣ東京,ジェフユナイテッド千葉,柏レイソル,静岡学園高,ＥＷＳ　ＦＣＪｒユース,大井川東小,,,,,,,,,,
1545,杉田　真彦,Masahiko SUGITA,1995/06/16,藤枝ＭＹＦＣ,ソニー仙台ＦＣ,順天堂大,静岡西高,ロプタ静岡,長田西サッカースポーツ少年団,,,,,,,,,,,,,,,,
1546,鮫島　晃太,Kota SAMESHIMA,1992/06/24,藤枝ＭＹＦＣ,サンフレッチェ広島,ＡＣ長野パルセイロ,サンフレッチェ広島,ＡＣ長野パルセイロ,サンフレッチェ広島,ガイナーレ鳥取,サンフレッチェ広島,鹿児島城西高,鹿児島育英館中,桜山小,,,,,,,,,,,
1547,枝村　匠馬,Takuma EDAMURA,1986/11/16,藤枝ＭＹＦＣ,栃木ＳＣ,清水エスパルス,アビスパ福岡,清水エスパルス,ヴィッセル神戸,清水エスパルス,名古屋グランパス,清水エスパルス,セレッソ大阪,清水エスパルス,セレッソ大阪,清水エスパルス,清水エスパルスユース,清水エスパルスＪｒユース,,,,,,,
1548,稲積　大介,Daisuke INAZUMI,1997/05/08,藤枝ＭＹＦＣ,日本体育大,滝川二高,ヴィッセル神戸Ｕ-１５,山田ＳＳＤ,,,,,,,,,,,,,,,,,
1549,森島　康仁,Yasuhito MORISHIMA,1987/09/18,藤枝ＭＹＦＣ,栃木ウーヴァＦＣ,テゲバジャーロ宮崎,ジュビロ磐田,川崎フロンターレ,ジュビロ磐田,川崎フロンターレ,大分トリニータ,セレッソ大阪,大分トリニータ,セレッソ大阪,滝川二高,セレッソ大阪Ｕ-１５,,,,,,,,,
1550,シューラー　マテウス,SCHULER MATEUS,1994/01/28,藤枝ＭＹＦＣ,東京２３ＦＣ,ＣＳマリティモB／ポルトガル,ＥＣイグレジーニャ／ブラジル,フロリダガルフコース／アメリカ合衆国,,,,,,,,,,,,,,,,,
1551,久富　良輔,Ryosuke HISADOMI,1991/03/19,藤枝ＭＹＦＣ,栃木ＳＣ,藤枝ＭＹＦＣ,ザスパクサツ群馬,ザスパ草津チャレンジャーズ,産業能率大,桐陽高,湯河原中,湯河原サッカースポーツ少年団,,,,,,,,,,,,,
1552,那須川　将大,Masahiro NASUKAWA,1986/12/29,藤枝ＭＹＦＣ,松本山雅ＦＣ,大分トリニータ,松本山雅ＦＣ,徳島ヴォルティス,栃木ＳＣ,東京ヴェルディ,栃木ＳＣ,東京ヴェルディ,中京大,青森山田高,緑陽中,,,,,,,,,,
1553,森本　大貴,Daiki MORIMOTO,1995/09/15,藤枝ＭＹＦＣ,松本山雅ＦＣ,ＦＣマルヤス岡崎,松本山雅ＦＣ,ＳＣ相模原,松本山雅ＦＣ,ＳＣ相模原,松本山雅ＦＣ,関東学院大,米子北高,蹴友,,,,,,,,,,,
1554,横山　暁之,Akiyuki YOKOYAMA,1997/03/26,藤枝ＭＹＦＣ,北陸大,東京ヴェルディユース,東京ヴェルディＪｒユース,山崎ＦＣ,,,,,,,,,,,,,,,,,
1555,枝本　雄一郎,Yuichiro EDAMOTO,1988/08/06,藤枝ＭＹＦＣ,鹿児島ユナイテッドＦＣ,ＦＣ琉球,藤枝ＭＹＦＣ,ザスパクサツ群馬,ザスパ草津Ｕ-２３,近畿大,静岡学園高,エスポルチ藤沢,,,,,,,,,,,,,
1556,松村　航希,Koki MATSUMURA,1996/05/24,藤枝ＭＹＦＣ,大阪教育大,ヴィッセル神戸Ｕ-１８,ヴィッセル神戸伊丹Ｕ-１５,日生中央ＳＣ,,,,,,,,,,,,,,,,,
1557,佐古　真礼,Maaya SAKO,2002/12/02,藤枝ＭＹＦＣ,東京ヴェルディ,東京ヴェルディユース,東京ヴェルディＪｒユース,東京ヴェルディジュニア,,,,,,,,,,,,,,,,,
1558,大杉　啓,Satoshi OSUGI,1996/12/22,藤枝ＭＹＦＣ,品川ＣＣ,カロラインスプリング／オーストラリア,キングストンシティＦ／オーストラリア,マルバーンシティＦＣ／オーストラリア,日本体育大,静岡学園高,静岡学園中,静岡横内サッカースポーツ少年団,,,,,,,,,,,,,
1559,金　正也,KIM Jungya,1988/05/17,藤枝ＭＹＦＣ,ベガルタ仙台,ガンバ大阪,サガン鳥栖,ガンバ大阪,駒澤大,神戸科学技術高,フレスカテルツァ,,,,,,,,,,,,,,
1560,河上　将平,Shohei KAWAKAMI,1997/10/26,藤枝ＭＹＦＣ,専修大,東海大翔洋高,レオーネ山口Ｕ-１５,レオーネ山口Ｕ-１２,,,,,,,,,,,,,,,,,
1561,名良橋　拓真,Takuma NARAHASHI,1997/05/19,藤枝ＭＹＦＣ,阪南大,川崎フロンターレＵ-１８,川崎フロンターレＵ-１５,FCパーシモン,,,,,,,,,,,,,,,,,
1562,清本　拓己,Takumi KIYOMOTO,1993/06/07,藤枝ＭＹＦＣ,江原ＦＣ／大韓民国,大分トリニータ,ＦＣ岐阜,大分トリニータ,ＦＣ岐阜,ＳＣフェイエノールト／オランダ,エクセルシオール／オランダ,関商工高,Ｆ．Ｃ．フォレスタ関Ｊｒユース,,,,,,,,,,,,
1563,野村　政孝,Masataka NOMURA,1991/06/29,アスルクラロ沼津,ロアッソ熊本,名古屋グランパス,ブラウブリッツ秋田,名古屋グランパス,駒澤大,日本学園高,東京チャンプＦＣ,,,,,,,,,,,,,,
1564,藤嵜　智貴,Tomoki FUJISAKI,1994/09/19,アスルクラロ沼津,国士舘大,清水エスパルスユース,,,,,,,,,,,,,,,,,,,
1565,安在　達弥,Tatsuya ANZAI,1996/05/09,アスルクラロ沼津,東京ヴェルディ,アスルクラロ沼津,東京ヴェルディ,中央大,東京ヴェルディユース,東京ヴェルディＪｒユース,東京ヴェルディジュニア,羽衣ＳＣ,,,,,,,,,,,,,
