,選手名,選手名（英語）,ポジション,生年月日,身長,体重,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
4688,林　瑞輝,Mizuki HAYASHI,GK,1996/09/04,182,74,ガンバ大阪,レノファ山口ＦＣ,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,大和田少年ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4689,林　勇介,Yusuke HAYASHI,MF,1990/01/23,170,62,,,,,,,,,,,,,,,,,,,,,,
4690,林　容平,Yohei HAYASHI,FW,1989/07/16,178,64,,,,,,,,,,,,,,,,,,,,,,
4691,林　陸也,Rikuya HAYASHI,MF,2003/07/17,169,55,,,,,,,,,,,,,,,,,,,,,,
4692,林　陵平,Ryohei HAYASHI,FW,1986/09/08,186,80,,,,,,,,,,,,,,,,,,,,,,
4693,林田　魁斗,Kaito HAYASHIDA,DF,2001/08/29,183,74,,,,,,,,,,,,,,,,,,,,,,
4694,林田　滉也,Koya HAYASHIDA,MF,1999/07/14,175,73,,,,,,,,,,,,,,,,,,,,,,
4695,林田　隆介,Ryusuke HAYASHIDA,MF,1999/03/11,168,57,,,,,,,,,,,,,,,,,,,,,,
4696,端山　豪,Go HAYAMA,MF,1993/04/09,176,70,,,,,,,,,,,,,,,,,,,,,,
4697,葉山　新之輔,Shinnosuke HAYAMA,DF,2003/06/04,165,67,,,,,,,,,,,,,,,,,,,,,,
4698,羽山　拓巳,Takumi HAYAMA,DF,1978/05/20,171,65,,,,,,,,,,,,,,,,,,,,,,
4699,原　一樹,Kazuki HARA,FW,1985/01/05,177,75,,,,,,,,,,,,,,,,,,,,,,
4700,原　一貴,Kazuki HARA,DF,2000/10/19,174,64,,,,,,,,,,,,,,,,,,,,,,
4701,原　大智,Taichi HARA,FW,1999/05/05,191,84,,,,,,,,,,,,,,,,,,,,,,
4702,原　拓也,Takuya HARA,FW,1983/06/04,175,63,,,,,,,,,,,,,,,,,,,,,,
4703,原　輝綺,Teruki HARA,MF,1998/07/30,180,72,清水エスパルス,サガン鳥栖,アルビレックス新潟,市立船橋高,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4704,原　直生,Naoki HARA,MF,2003/07/22,177,62,湘南ベルマーレ,ＦＣ．ＣＥＤＡＣ　Ｊｒユース,ＦＣ．ＣＥＤＡＣジュニア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4705,原　信生,Nobuki HARA,MF,1979/09/06,174,74,,,,,,,,,,,,,,,,,,,,,,
4706,原　尊,Mikoto HARA,FW,2000/06/17,171,68,,,,,,,,,,,,,,,,,,,,,,
4707,原　裕太郎,Yutaro HARA,GK,1990/04/23,187,82,,,,,,,,,,,,,,,,,,,,,,
4708,原　竜太,Ryuta HARA,FW,1981/04/19,172,67,,,,,,,,,,,,,,,,,,,,,,
4709,原井川　昇吾,Shogo HARAIKAWA,FW,2004/10/25,168,61,,,,,,,,,,,,,,,,,,,,,,
4710,原川　力,Riki HARAKAWA,MF,1993/08/18,175,72,セレッソ大阪,サガン鳥栖,川崎フロンターレ,サガン鳥栖,川崎フロンターレ,京都サンガF.C.,愛媛ＦＣ,京都サンガF.C.,京都サンガF.C.Ｕ-１８,レオーネ山口,-,-,-,-,-,-,-,-,-,-,-,-
4711,原口　元気,Genki HARAGUCHI,FW,1991/05/09,179,70,,,,,,,,,,,,,,,,,,,,,,
4712,原口　拓人,Takuto HARAGUCHI,FW,1992/05/03,173,68,,,,,,,,,,,,,,,,,,,,,,
4713,原口　祐次郎,Yujiro HARAGUCHI,DF,1992/09/30,178,73,,,,,,,,,,,,,,,,,,,,,,
4714,原崎　政人,Masato HARASAKI,MF,1974/08/13,178,70,,,,,,,,,,,,,,,,,,,,,,
4715,原田　幹太,Kanta HARADA,MF,2004/09/07,164,54,,,,,,,,,,,,,,,,,,,,,,
4716,原田　岳,Gaku HARADA,GK,1998/05/22,188,84,Ｖ・ファーレン長崎,横浜Ｆ・マリノス,ＳＣ相模原,横浜Ｆ・マリノス,ＳＣ相模原,横浜Ｆ・マリノス,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース,バディーＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-
4717,原田　圭輔,Keisuke HARADA,DF,1988/06/11,175,67,,,,,,,,,,,,,,,,,,,,,,
4718,原田　虹輝,Koki HARADA,MF,2000/08/06,169,65,ガイナーレ鳥取,川崎フロンターレ,昌平高,クラブ与野,岩槻ジャガーズサッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4719,原田　紘介,Kosuke HARADA,FW,1977/12/21,171,68,,,,,,,,,,,,,,,,,,,,,,
4720,原田　慎太郎,Shintaro HARADA,MF,1980/11/08,176,70,,,,,,,,,,,,,,,,,,,,,,
4721,原田　大雅,Taiga HARADA,DF,1996/10/18,178,73,,,,,,,,,,,,,,,,,,,,,,
4722,原田　拓,Taku HARADA,MF,1982/10/27,179,72,,,,,,,,,,,,,,,,,,,,,,
4723,原田　武男,Takeo HARADA,MF,1971/10/02,172,72,,,,,,,,,,,,,,,,,,,,,,
4724,原田　直樹,Naoki HARADA,GK,1991/08/05,182,78,,,,,,,,,,,,,,,,,,,,,,
4725,原田　拓季,Hiroki HARADA,MF,1998/05/23,172,61,,,,,,,,,,,,,,,,,,,,,,
4726,原田　祐輔,Yusuke HARADA,GK,1991/05/17,180,73,,,,,,,,,,,,,,,,,,,,,,
4727,原田　欽庸,Yoshinobu HARADA,GK,1986/05/17,184,80,,,,,,,,,,,,,,,,,,,,,,
4728,原田　亘,Wataru HARADA,DF,1996/07/22,178,73,ＦＣ今治,日本体育大,星稜高,ヴィッセル神戸Ｕ-１５,霞ケ丘学園ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4729,原山　海里,Kairi HARAYAMA,DF,1997/11/01,174,68,ヴァンラーレ八戸,いわてグルージャ盛岡,東京学芸大,青森山田高,クマガヤＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4730,針谷　岳晃,Takeaki HARIGAYA,MF,1998/10/15,166,56,ギラヴァンツ北九州,ジュビロ磐田,昌平高,ＦＣ古河Ｊｒユース,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4731,春名　竜聖,Ryusei HARUNA,GK,2004/05/01,182,81,セレッソ大阪,セレッソ大阪西Ｕ-１５,江井ヶ島イレブン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4732,晴山　岬,Misaki HARUYAMA,MF,2001/06/30,171,62,ＦＣ町田ゼルビア,帝京長岡高,長岡ＪｒユースＦＣ　Ｕ-１５,長岡ＪｒユースＦＣ　Ｕ-１２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4733,ハン　グギョン,HAN Kook Young,MF,1990/04/19,183,74,,,,,,,,,,,,,,,,,,,,,,
4734,ハン　サンウン,HAN Sang Wun,FW,1986/05/03,182,76,,,,,,,,,,,,,,,,,,,,,,
4735,ハン　スンヒョン,HAN Seung Hyeong,FW,1993/11/10,191,83,,,,,,,,,,,,,,,,,,,,,,
4736,韓　在民,HAN Jaemin,MF,1995/09/10,168,67,,,,,,,,,,,,,,,,,,,,,,
4737,韓　昌柱,HAN Chang Joo,MF,1995/12/07,181,70,,,,,,,,,,,,,,,,,,,,,,
4738,ハン　ドンウォン,HAN Dong Won,FW,1986/04/06,178,69,,,,,,,,,,,,,,,,,,,,,,
4739,ハン　ドンジュン,HAN Dong Joon,GK,2000/09/05,180,71,,,,,,,,,,,,,,,,,,,,,,
4740,ハン　ヒフン,HAN Hee Hoon,DF,1990/08/10,183,78,,,,,,,,,,,,,,,,,,,,,,
4741,韓　浩康,HAN Hogang,DF,1993/09/18,186,80,横浜ＦＣ,ブラウブリッツ秋田,モンテディオ山形,ブラウブリッツ秋田,モンテディオ山形,ブラウブリッツ秋田,モンテディオ山形,朝鮮大学校,京都朝鮮高級学校,京都朝鮮中級学校,-,-,-,-,-,-,-,-,-,-,-,-
4742,ハン　ホドン,HAN Ho Dong,GK,1996/06/04,191,86,,,,,,,,,,,,,,,,,,,,,,
4743,韓　勇太,HAN Yong Thae,FW,1996/10/30,182,78,いわてグルージャ盛岡,松本山雅ＦＣ,栃木ＳＣ,松本山雅ＦＣ,鹿児島ユナイテッドＦＣ,松本山雅ＦＣ,朝鮮大,東京朝鮮高,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4744,半田　航也,Koya HANDA,FW,1998/09/27,179,74,ブラウブリッツ秋田,札幌大,ブラウブリッツ秋田Ｕ-１８,ブラウブリッツ秋田Ｕ-１５,ＦＣスティンガー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4745,半田　武嗣,Takeshi HANDA,MF,1985/06/26,168,60,,,,,,,,,,,,,,,,,,,,,,
4746,半田　優希,Yuki HANDA,MF,1996/01/10,166,66,,,,,,,,,,,,,,,,,,,,,,
4747,半田　陸,Riku HANDA,DF,2002/01/01,176,63,モンテディオ山形,モンテディオ山形ユース,モンテディオ山形Ｊｒユース村山,上山カメレオンＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4748,半谷　陽介,Yosuke HANYA,FW,1999/01/30,173,61,,,,,,,,,,,,,,,,,,,,,,
4749,ハース,Mario HAAS,FW,1974/09/16,182,82,,,,,,,,,,,,,,,,,,,,,,
4750,ハーフナー　ニッキ,Nikki HAVENAAR,DF,1995/02/16,197,82,,,,,,,,,,,,,,,,,,,,,,
4751,ハーフナー　マイク,Mike HAVENAAR,FW,1987/05/20,194,92,,,,,,,,,,,,,,,,,,,,,,
4752,バウアー,Michael BAUR,MF,1969/04/16,181,74,,,,,,,,,,,,,,,,,,,,,,
4753,バウテル,WALTER Henrique De Oliveira,MF,1968/10/21,180,72,,,,,,,,,,,,,,,,,,,,,,
4754,バウベル,VALBER Da Silva Costa,MF,1971/12/06,177,74,,,,,,,,,,,,,,,,,,,,,,
4755,バエス,Richart Martin BAEZ,FW,1973/07/31,180,78,,,,,,,,,,,,,,,,,,,,,,
4756,バジーリオ,Valdeci BASILIO Da Silva,FW,1972/07/14,168,63,,,,,,,,,,,,,,,,,,,,,,
4757,バスティアニーニ,Pablo Emanuel BASTIANINI,FW,1982/11/09,187,89,,,,,,,,,,,,,,,,,,,,,,
4758,バデア,Pavel BADEA,MF,1967/06/10,172,68,,,,,,,,,,,,,,,,,,,,,,
4759,馬場　一博,Kazuhiro BABA,MF,2001/08/24,171,66,,,,,,,,,,,,,,,,,,,,,,
4760,馬場　賢治,Kenji BABA,FW,1985/07/07,177,77,,,,,,,,,,,,,,,,,,,,,,
4761,馬場　晴也,Seiya BABA,DF,2001/10/24,181,76,東京ヴェルディ,東京ヴェルディユース,東京ヴェルディＪｒユース,Ｒｅｆｉｎｏ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4762,馬場　将大,Masahiro BABA,DF,1990/05/06,174,66,,,,,,,,,,,,,,,,,,,,,,
4763,馬場　憂太,Yuta BABA,MF,1984/01/22,176,72,,,,,,,,,,,,,,,,,,,,,,
4764,馬場　悠,Yutaka BABA,DF,1986/10/04,180,72,,,,,,,,,,,,,,,,,,,,,,
4765,バブンスキー,Boban BABUNSKI,DF,1968/05/05,184,78,,,,,,,,,,,,,,,,,,,,,,
4766,バヤリッツァ,Milos BAJALICA,DF,1981/12/15,185,78,,,,,,,,,,,,,,,,,,,,,,
4767,茨田　陽生,Akimi BARADA,MF,1991/05/30,173,68,湘南ベルマーレ,大宮アルディージャ,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,柏レイソルＵ-１２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4768,バラル,David BARRAL Torres,FW,1983/05/10,179,82,,,,,,,,,,,,,,,,,,,,,,
4769,バリシッチ,Josip BARISIC,DF,1981/03/07,190,85,,,,,,,,,,,,,,,,,,,,,,
4770,バルチ　ジュニオール,VALCI JUNIOR,FW,1987/02/14,190,83,,,,,,,,,,,,,,,,,,,,,,
4771,バルディビエソ,Julio Cesar BALDIVIESO Rico,MF,1971/12/02,180,76,,,,,,,,,,,,,,,,,,,,,,
4772,バルデス,Jorge Luis Dely VALDES,FW,1967/03/12,182,76,,,,,,,,,,,,,,,,,,,,,,
4773,バルデマール,VALDUMAR Augusto Te,FW,1997/08/14,188,82,ＦＣ今治,アモラ／ポルトガル,ヴィトーリア　セツバル／ポルトガル,オリンピコ　ド　モンティ／ポルトガル,マフラ／ポルトガル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4774,バレー,Jader Volnei Spindler(BARE),FW,1982/01/18,190,86,,,,,,,,,,,,,,,,,,,,,,
4775,バロン,Marcelo BARON Polanczyk,FW,1974/01/19,186,83,,,,,,,,,,,,,,,,,,,,,,
4776,バングーナガンデ　佳史扶,Kashif BANGNAGANDE,DF,2001/09/24,176,74,ＦＣ東京,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５深川,ＦＣアビリスタ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4777,萬代　宏樹,Hiroki BANDAI,FW,1986/02/19,184,77,,,,,,,,,,,,,,,,,,,,,,
4778,バンデレイ,Vanderlei Aparecido,FW,1968/08/22,172,71,,,,,,,,,,,,,,,,,,,,,,
4779,播戸　竜二,Ryuji BANDO,FW,1979/08/02,171,67,,,,,,,,,,,,,,,,,,,,,,
4780,バージェ,BLAZHE Ilijoski,FW,1984/07/09,182,79,,,,,,,,,,,,,,,,,,,,,,
4781,バーヤック,BALJAK Srdjan,FW,1978/11/25,179,74,,,,,,,,,,,,,,,,,,,,,,
4782,バーンズ　アントン,Anton BURNS,GK,2003/10/01,187,79,ＦＣ町田ゼルビア,大成高在学中,ＦＣトリプレッタ　,Ｋ４ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4783,パウリーニョ,Paulo Cesar Bonfim(PAULINHO),FW,1971/07/15,164,66,,,,,,,,,,,,,,,,,,,,,,
4784,パウリーニョ,Paulo Antonio De Oliveira(PAULINHO),FW,1982/07/16,168,67,,,,,,,,,,,,,,,,,,,,,,
4785,パウリーニョ,Paulo Roberto Gonzaga(PAULINHO),MF,1989/01/26,177,79,ファジアーノ岡山,松本山雅ＦＣ,ジェフユナイテッド千葉,松本山雅ＦＣ,ジェフユナイテッド千葉,湘南ベルマーレ,ジェフユナイテッド千葉,栃木ＳＣ,川崎フロンターレ,栃木ＳＣ,メトロポリターノ／ブラジル,バスコ　ダ　ガマ／ブラジル,メトロポリターノ／ブラジル,グレミオ／ブラジル,メトロポリターノ／ブラジル,-,-,-,-,-,-,-
4786,パウロ　バイヤ,Paulo Henrique Silva Ribeiro(PAULO BAYA),FW,1999/07/26,184,72,ヴァンフォーレ甲府,ＦＣカスカヴェウ／ブラジル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4787,パウロ　マギノ,PAULO MAGINO De Souza,FW,1979/06/23,172,69,,,,,,,,,,,,,,,,,,,,,,
4788,パウロン,Luis Paulo Da Silva(PAULAO),DF,1989/12/04,192,85,ＦＣ岐阜,アルビレックス新潟,栃木ＳＣ,北海道コンサドーレ札幌,水戸ホーリーホック,北海道コンサドーレ札幌,福島ユナイテッドＦＣ,北海道コンサドーレ札幌,ローマ　アプカラーナ／ブラジル,ＦＣカスカヴェウ／ブラジル,ローマ　アプカラーナ／ブラジル,エンジェネイロ　ベウトラン／ブラジル,ローマ　アプカラーナ／ブラジル,-,-,-,-,-,-,-,-,-
4789,パウロ・エンリケ,PAULO HENRIQUE Miranda,MF,1972/02/21,172,67,,,,,,,,,,,,,,,,,,,,,,
4790,朴　一圭,PARK Il Gyu,GK,1989/12/22,180,76,サガン鳥栖,横浜Ｆ・マリノス,サガン鳥栖,横浜Ｆ・マリノス,ＦＣ琉球,藤枝ＭＹＦＣ,ＦＣ　ＫＯＲＥＡ,藤枝ＭＹＦＣ,朝鮮大学校,東京朝鮮中高級学校,-,-,-,-,-,-,-,-,-,-,-,-
4791,パク　ウォンジェ,PARK Won Jae,MF,1984/05/28,176,68,,,,,,,,,,,,,,,,,,,,,,
4792,パク　カンイル,PARK Kwang Il,DF,1991/02/10,173,65,,,,,,,,,,,,,,,,,,,,,,
4793,朴　康造（パク・カンジョ）,PARK Kang Jo,MF,1980/01/24,166,58,,,,,,,,,,,,,,,,,,,,,,
4794,朴　基棟,PARK Gi Dong,FW,1988/11/01,191,83,,,,,,,,,,,,,,,,,,,,,,
4795,朴　建夏,PARK Kun Ha,FW,1971/07/25,180,75,,,,,,,,,,,,,,,,,,,,,,
4796,パク　ゴン,PARK Kun,MF,1990/07/11,184,79,,,,,,,,,,,,,,,,,,,,,,
4797,朴　俊慶,PARK Joon Kyung,FW,1986/02/12,181,78,,,,,,,,,,,,,,,,,,,,,,
4798,パク　ジョンス,PARK Jeongsu,DF,1994/04/12,188,76,,,,,,,,,,,,,,,,,,,,,,
4799,朴　庭秀,PARK Jung Soo,MF,1987/01/13,181,72,,,,,,,,,,,,,,,,,,,,,,
4800,朴　鎭琇,PARK Jin Soo,MF,1987/03/01,181,76,,,,,,,,,,,,,,,,,,,,,,
4801,朴　昇利,PARK Seung Ri,GK,1993/01/18,190,81,,,,,,,,,,,,,,,,,,,,,,
4802,パク　ソンス,PARK Seong Su,GK,1996/05/12,192,77,,,,,,,,,,,,,,,,,,,,,,
4803,パク　ソンホ（朴　成鎬）,PARK Sung Ho,FW,1982/07/27,191,85,,,,,,,,,,,,,,,,,,,,,,
4804,朴　智星,PARK Ji Sung,MF,1981/02/25,178,70,,,,,,,,,,,,,,,,,,,,,,
4805,パク　チャニョン,PARK Chan Yong,DF,1996/01/27,186,79,,,,,,,,,,,,,,,,,,,,,,
4806,朴　柱成,PARK Ju Sung,DF,1984/02/20,183,84,,,,,,,,,,,,,,,,,,,,,,
4807,パク　チュホ,PARK Joo Ho,DF,1987/01/16,176,71,,,,,,,,,,,,,,,,,,,,,,
4808,朴　宗眞,PARK Jong Jin,MF,1987/06/24,179,72,,,,,,,,,,,,,,,,,,,,,,
4809,パク　チョンヘ,PARK Jung Hae,DF,1987/04/21,183,78,,,,,,,,,,,,,,,,,,,,,,
4810,パク　テファン,PARK Tae Hwan,DF,1997/07/29,186,80,,,,,,,,,,,,,,,,,,,,,,
4811,パク　テホン（朴　台洪）,PARK Tae Hong,DF,1991/03/25,185,75,,,,,,,,,,,,,,,,,,,,,,
4812,パク　ドンヒョク,PARK Dong Hyuk,DF,1979/04/18,187,80,,,,,,,,,,,,,,,,,,,,,,
4813,パク　ヒョンジン,PARK Hyung Jin,MF,1990/06/24,182,76,,,,,,,,,,,,,,,,,,,,,,
4814,朴　永浩,PAK Yong Ho,DF,1974/05/29,185,75,,,,,,,,,,,,,,,,,,,,,,
4815,朴　利基,PARK Riki,MF,1992/07/18,177,68,,,,,,,,,,,,,,,,,,,,,,
4816,パトリック,PATRICK Marcelino,DF,1994/03/04,189,90,,,,,,,,,,,,,,,,,,,,,,
4817,パトリック,Anderson PATRIC Aguiar Oliveira,FW,1987/10/26,189,82,ガンバ大阪,サンフレッチェ広島,ガンバ大阪,フォルトレーザ／ブラジル,ヴァンフォーレ甲府,川崎フロンターレ,アトレチコ　ゴイアニエンセ／ブラジル,ヴィラノバＦＣ／ブラジル,ヴァスコ　ダ　ガマ／ブラジル,ミストＥＣ／ブラジル,アメリカーノＦＣ／ブラジル,ＳＥＲサンジョゼ／ブラジル,ヴェラクルズＦＣ／ブラジル,デモクラタＦＣ／ブラジル,ＡＤＲＣイカザ／ブラジル,サルグエイロＡＣ／ブラジル,サンタクルスＦＣ／ブラジル,ＣＡヴィラ　リカ／ブラジル,パイサンドゥＳＣ／ブラジル,-,-,-
4818,パトリック,PATRICK Zwaanswijk,DF,1975/01/17,191,86,,,,,,,,,,,,,,,,,,,,,,
4819,パトリック,PATRICK Marins Vieira,FW,1992/01/11,181,75,,,,,,,,,,,,,,,,,,,,,,
4820,パナディッチ,Andrej PANADIC,DF,1969/03/09,188,84,,,,,,,,,,,,,,,,,,,,,,
4821,パパドプーロス,Avram PAPADOPOULOS,DF,1984/12/03,184,84,,,,,,,,,,,,,,,,,,,,,,
4822,パブロ,PABLO Yan Fereira,FW,1994/08/30,176,76,,,,,,,,,,,,,,,,,,,,,,
4823,パブロ,PABLO Felipe Teixeira,MF,1992/06/23,185,77,,,,,,,,,,,,,,,,,,,,,,
4824,パブロ,PABLO Augusto Servo De Carvalho,FW,1996/04/19,184,80,,,,,,,,,,,,,,,,,,,,,,
4825,パブロ,PABLO Jose Maqueda Andres,MF,1971/01/18,176,73,,,,,,,,,,,,,,,,,,,,,,
4826,パブロ　ジオゴ,PABLO DIOGO Lopes De Lima,MF,1992/12/18,175,67,,,,,,,,,,,,,,,,,,,,,,
4827,パラ,Anderson Ferreira Da Silva(PARA),DF,1995/08/23,167,70,,,,,,,,,,,,,,,,,,,,,,
4828,パラシオス,Ever Antonio PALACIOS,DF,1969/01/18,186,77,,,,,,,,,,,,,,,,,,,,,,
4829,パンチョ,Francisco Javier Fernandez Torrejon(PANCHO),MF,1975/08/19,169,66,,,,,,,,,,,,,,,,,,,,,,
4830,比嘉　厚平,Kohei HIGA,MF,1990/04/30,166,59,,,,,,,,,,,,,,,,,,,,,,
4831,比嘉　雄作,Yusaku HIGA,FW,1987/06/13,167,60,,,,,,,,,,,,,,,,,,,,,,
4832,比嘉　祐介,Yusuke HIGA,DF,1989/05/15,169,66,,,,,,,,,,,,,,,,,,,,,,
4833,比嘉　諒人,Ryoto HIGA,MF,1990/10/17,176,65,,,,,,,,,,,,,,,,,,,,,,
4834,東　慶悟,Keigo HIGASHI,MF,1990/07/20,178,72,ＦＣ東京,大宮アルディージャ,大分トリニータ,大分トリニータＵ-１８,若松中,深町ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4835,東　幸一,Koichi HIGASHI,MF,1978/08/23,168,64,,,,,,,,,,,,,,,,,,,,,,
4836,東　駿,Shun HIGASHI,FW,2000/07/28,181,67,,,,,,,,,,,,,,,,,,,,,,
4837,東　俊希,Shunki HIGASHI,MF,2000/07/28,180,69,サンフレッチェ広島,サンフレッチェ広島ユース,ＦＣゼブラ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4838,東　隼也,Junya HIGASHI,DF,1997/11/13,176,72,,,,,,,,,,,,,,,,,,,,,,
4839,東　ジョン,John HIGASHI,GK,2002/05/02,187,84,栃木ＳＣ,名古屋グランパス,名古屋グランパスＵ-１８,東海スポーツＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4840,東口　順昭,Masaaki HIGASHIGUCHI,GK,1986/05/12,184,78,ガンバ大阪,アルビレックス新潟,新潟経営大,福井工大,洛南高,ガンバ大阪Ｊｒユース,ＦＣＯＷＬＳＩＮＴＥＲ．ＨＩＲＯＮＯ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4841,東出　壮太,Sota HIGASHIDE,MF,1998/08/24,162,59,ロアッソ熊本,北陸大,津工業高,ＦＣヴォラーレ,西が丘ＳＳＳ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4842,東野　広太郎,Kotaro HIGASHINO,DF,1998/06/10,183,74,ロアッソ熊本,立命館大,サンフレッチェ広島ユース,エスポワール白山ＦＣ,FC笠間,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4843,ヒキ,Ricardo Aparecido Tavares(RICK),MF,1987/04/23,173,61,,,,,,,,,,,,,,,,,,,,,,
4844,疋田　優人,Yuto HIKIDA,MF,1998/04/07,175,68,ファジアーノ岡山,大阪体育大,広島皆実高,メーヴェＦＣ,ＦＣ中洋,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4845,曵地　裕哉,Yuya HIKICHI,GK,1990/09/02,192,84,,,,,,,,,,,,,,,,,,,,,,
4846,挽地　祐哉,Yuya HIKICHI,MF,1983/05/02,181,70,,,,,,,,,,,,,,,,,,,,,,
4847,樋口　叶,Kakeru HIGUCHI,FW,2001/04/23,166,58,ロアッソ熊本,ロアッソ熊本ユース,ロアッソ熊本Ｊｒユース,ひとよしＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4848,樋口　知行,Tomoyuki HIGUCHI,FW,1985/03/02,174,67,,,,,,,,,,,,,,,,,,,,,,
4849,樋口　寛規,Hiroki HIGUCHI,FW,1992/04/16,172,72,福島ユナイテッドＦＣ,清水エスパルス,ＳＣ相模原,清水エスパルス,湘南ベルマーレ,清水エスパルス,ＦＣ岐阜,清水エスパルス,ＦＣ岐阜,清水エスパルス,滝川二高,学文中,宝塚ジュニアＦＣ,-,-,-,-,-,-,-,-,-
4850,樋口　雄太,Yuta HIGUCHI,MF,1996/10/30,168,66,サガン鳥栖,鹿屋体育大,サガン鳥栖Ｕ-１８,サガン鳥栖Ｕ-１５,サガン鳥栖Ｕ-１２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4851,樋口　耀大,Yota HIGUCHI,GK,2003/08/28,186,84,浦和レッズ,浦和レッズＪｒユース,アリーバＦＣ　Ｕ-１５,アリーバＦＣ　Ｕ-１２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4852,樋口　凛人,Rinto HIGUCHI,DF,2005/06/07,177,62,,,,,,,,,,,,,,,,,,,,,,
4853,久島　隆維,Ryui HISAJIMA,GK,2000/04/18,182,64,,,,,,,,,,,,,,,,,,,,,,
4854,久富　賢,Ken HISATOMI,MF,1990/09/29,160,58,ブラウブリッツ秋田,藤枝ＭＹＦＣ,松本山雅ＦＣ,藤枝ＭＹＦＣ,松本山雅ＦＣ,横浜ＦＣ,東海大第五高,浜玉中,浜崎小,-,-,-,-,-,-,-,-,-,-,-,-,-
4855,久富　良輔,Ryosuke HISADOMI,DF,1991/03/19,177,69,藤枝ＭＹＦＣ,栃木ＳＣ,藤枝ＭＹＦＣ,ザスパクサツ群馬,ザスパ草津チャレンジャーズ,産業能率大,桐陽高,湯河原中,湯河原サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-
4856,久永　辰徳,Tatsunori HISANAGA,MF,1977/12/23,172,66,,,,,,,,,,,,,,,,,,,,,,
4857,ヒシャルジソン,RICHARDSON Fernandes Dos Santos,MF,1991/08/17,174,74,柏レイソル,セアラーＳＣ／ブラジル,コンフィアンサ／ブラジル,オペラリオＥＣ／ブラジル,トレーゼ／ブラジル,コンフィアンサ／ブラジル,バラウナス／ブラジル,アメリカＦＣ／ブラジル,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4858,飛弾　暁,Satoshi HIDA,MF,1984/04/18,173,62,,,,,,,,,,,,,,,,,,,,,,
4859,日高　アレクサンドル,Alexandre BEBENYONHIDAKA(Alexandre HIDAKA),FW,2000/04/09,194,88,Ｙ．Ｓ．Ｃ．Ｃ．横浜,Ｙ．Ｓ．Ｃ．Ｃ．セカンド,橘学苑高,ＦＣ　ＡＳＡＨＩ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4860,日髙　慶太,Keita HIDAKA,MF,1990/02/19,177,66,,,,,,,,,,,,,,,,,,,,,,
4861,日高　拓磨,Takuma HIDAKA,DF,1983/04/08,177,70,,,,,,,,,,,,,,,,,,,,,,
